@relation 'dataset_feat-weka.filters.unsupervised.attribute.Remove-R1-3,5'

@attribute exp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {defective,clean}

@data
7705,2,358,172,6,65,35,clean
1470,1,358,261,55,35,42,defective
5720,1,358,311,111,104,55,clean
2,1,358,22,0,2,0,clean
551,1,358,145,8,29,19,clean
551,1,358,145,8,29,19,clean
551,1,358,145,8,29,19,clean
1288,4,358,358,50,68,65,defective
202,3,258,1231,292,82,63,defective
49,1,358,1202,284,7,7,defective
24,1,319,1212,289,12,2,clean
55,1,358,1202,286,11,5,clean
41132,1,258,1259,296,226,182,clean
4,1,259,1261,296,2,2,clean
41132,1,258,1259,296,226,182,clean
206,2,319,88,11,137,0,clean
166,1,258,105,23,166,0,clean
335,1,259,186,19,335,0,defective
335,1,259,186,19,335,0,defective
168,3,358,340,92,29,26,clean
12,2,299,43,0,15,2,clean
73,1,319,22,7,73,0,clean
34,2,258,2729,694,34,1,defective
5,3,259,2729,689,1,23,defective
7,1,319,35,0,7,0,clean
335,1,259,186,19,335,0,defective
322,1,258,136,10,46,7,clean
415,1,258,279,48,415,0,defective
1019,3,258,838,208,194,69,clean
16,2,299,182,39,14,23,clean
60,1,319,1019,293,5,12,clean
351,1,1742,210,38,351,0,defective
8,1,258,211,37,4,2,clean
287,10,1742,519,106,284,95,defective
905,2,259,690,121,97,31,defective
876,2,1742,570,141,455,10,defective
287,7,1742,399,80,369,22,defective
905,2,259,690,121,97,31,defective
351,1,1742,210,38,351,0,defective
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
22401,1,1742,14408,6611,22401,0,clean
