@relation dataset_feat_h-weka.filters.unsupervised.attribute.Remove-R11

@attribute comm numeric
@attribute adev numeric
@attribute ddev numeric
@attribute exp numeric
@attribute oexp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute label {clean,defective}

@data
3,3,6,4,12,3,177,846,0,2,clean
1,1,1,1248,74,1,213,499,190,48,clean
1,1,1,111,111,1,213,32,0,111,clean
1,1,1,1248,74,1,213,499,190,48,clean
1,1,1,188,222,3,213,28,3,72,defective
1,1,1,1260,72,1,213,283,17,30,clean
1,1,1,14,15,1,213,14,0,14,clean
1,1,1,289,2084,12,213,335,74,125,defective
1,1,1,227,227,1,213,120,34,227,defective
1,1,1,15,15,1,213,25,0,0,clean
1,1,1,20520,298,1,213,315,41,190,clean
1,1,1,31759,440,1,213,1410,321,349,clean
1,1,1,31759,440,1,213,1410,321,349,clean
1,1,1,38,38,1,213,10,0,0,clean
1,1,1,38,38,1,213,10,0,0,clean
1,1,1,38,38,1,213,10,0,0,clean
1,1,1,38,38,1,213,10,0,0,clean
1,1,1,38,38,1,213,10,0,0,clean
1,1,1,38,38,1,213,10,0,0,clean
1,1,1,38,38,1,213,10,0,0,clean
1,1,1,38,38,1,213,10,0,0,clean
1,1,1,38,38,1,213,10,0,0,clean
1,1,1,8,8,2,213,1374,283,2,clean
5,5,3,3,139,14,186,940,178,17,clean
2,2,4,6,1204,3,177,733,103,400,clean
1,1,1,36,56,2,213,313,37,27,clean
2,2,2,3,44,2,223,430,77,10,clean
9,9,4,59,13,9,213,645,152,14,defective
6,6,8,10,4,7,223,692,147,6,defective
11,11,14,37,24,20,1577,685,179,144,defective
7,7,18,57,21,7,186,813,217,24,defective
14,14,23,281,469,15,192,658,175,77,defective
14,14,28,16,6,18,177,930,216,154,defective
1,1,1,7,8,1,213,3,0,1,clean
1,1,1,40,14,1,213,98,49,10,clean
1,1,1,40,14,1,213,98,49,10,clean
2,2,2,10607,10616,2,1577,2097,27,5307,clean
1,1,1,37,37,1,213,3008,714,37,clean
1,1,2,190992,968,1,223,3323,758,692,clean
4,4,5,8781,851,4,186,3865,884,174,defective
2,2,6,651,559,2,192,4035,917,188,clean
1,1,7,324384,1150,1,177,3951,853,496,clean
1,1,1,14,9,1,213,2987,241,7,clean
1,1,2,760,59,1,186,3612,216,40,clean
1,1,3,2,2,1,192,3504,313,2,clean
1,1,4,5,5,1,177,1331,131,0,clean
1,1,1,15,15,1,213,25,0,0,clean
1,1,1,4,4,1,213,663,114,2,clean
5,5,3,29,1082,14,213,1923,466,78,clean
2,2,5,1,2,2,223,1530,381,1,clean
5,5,7,109,15,8,1577,1517,476,105,defective
1,1,8,5106,143,1,186,1109,316,74,defective
3,3,10,3342,491,4,192,790,173,194,defective
2,2,11,10,3095,5,177,741,180,437,defective
1,1,1,6,6,1,213,1410,371,0,clean
1,1,1,40,28,2,213,68,27,10,clean
1,1,2,1470,2894,2,1577,271,0,1447,clean
2,2,3,84,146,2,186,70,31,67,clean
1,1,1,1957,122,1,213,1069,235,19,clean
2,2,2,14,10,2,213,313,69,3,clean
1,1,1,35,12,1,213,3414,634,5,clean
1,1,2,24,11,1,223,3422,637,8,clean
1,1,3,8,6,1,192,1036,206,2,clean
1,1,4,95,24,1,177,878,234,19,clean
1,1,1,24,14,1,213,642,147,12,clean
1,1,1,31759,440,1,213,1410,321,349,clean
1,1,1,5,6,1,213,188,49,5,clean
1,1,1,31759,440,1,213,1410,321,349,clean
1,1,2,6643,328,2,186,1,0,91,clean
6,6,5,62,168,7,213,1263,100,72,defective
2,2,6,1,34,7,223,24,2,2,defective
2,2,8,480,39,2,1577,1851,118,138,clean
4,4,11,61,31,6,186,559,31,47,clean
4,4,14,272,112,5,192,2100,183,147,defective
6,6,18,36,18,9,177,1737,175,18,defective
2,2,2,6,24,2,213,6027,1516,12,defective
1,1,3,18,9,1,1577,6193,1561,6,clean
1,1,1,1052,998,2,213,1272,260,236,clean
1,1,2,1,2,1,223,2621,526,1,clean
1,1,1,1052,998,2,213,1272,260,236,clean
3,3,1,32,68,3,213,526,132,11,clean
3,3,1,25,155,3,213,1171,278,33,defective
1,1,2,96,22,1,223,1439,347,16,defective
1,1,3,1092,121,2,192,761,174,35,clean
3,3,1,336,136,3,213,362,78,29,clean
1,1,1,75,20,1,213,6335,1915,15,clean
1,1,2,226576,952,1,1577,6829,2100,476,defective
2,2,1,1,4,2,213,635,134,1,defective
2,2,2,858,67,2,192,648,134,18,clean
3,3,1,950,139,3,213,358,79,20,defective
2,2,2,268,141,2,213,1412,337,50,defective
3,3,1,168,61,3,213,6316,1921,16,defective
1,1,2,226576,952,1,1577,6829,2100,476,defective
1,1,3,112,22,1,186,6904,2129,14,clean
7,7,5,1022,150,7,192,7147,2183,61,defective
1,1,1,270,51,1,213,6391,1939,45,clean
1,1,2,226576,952,1,1577,6829,2100,476,defective
2,2,3,1092,134,2,192,6995,2143,33,defective
1,1,1,5,5,1,213,355,0,5,clean
1,1,1,11571,220,1,213,698,127,133,clean
1,1,2,62,33,1,223,726,133,31,clean
2,2,1,510,81,2,213,263,72,30,defective
1,1,2,1,2,1,1577,257,69,1,clean
1,1,1,529,46,1,213,1741,424,23,defective
1,1,1,18,18,1,213,306,81,18,clean
2,2,2,4,49,2,186,383,99,14,clean
1,1,1,120,34,1,213,379,75,30,clean
1,1,1,62,33,1,213,1868,396,31,clean
1,1,2,9310,193,1,192,1987,409,98,clean
3,3,3,269010,2099,5,177,1933,382,230,defective
1,1,1,80,80,1,213,298,73,80,defective
1,1,1,232,37,1,213,4968,1337,29,clean
1,1,1,31,31,1,213,317,85,31,clean
1,1,2,486,45,1,186,386,99,27,clean
7,7,1,950,322,7,213,360,79,26,defective
2,2,1,26,84,2,213,600,114,32,clean
1,1,1,17,18,1,213,992,217,17,clean
1,1,1,18,9,1,213,0,0,6,clean
1,1,2,8,6,1,1577,0,0,4,clean
14,14,6,972,327,33,213,933,234,32,defective
8,8,11,34,15,12,223,813,205,13,clean
14,14,18,24,6,18,1577,1620,322,1189,defective
12,12,23,75,184,16,186,445,95,53,defective
8,8,27,1551,520,11,192,760,193,123,defective
9,9,32,17,44,11,177,726,181,209,defective
1,1,1,390,43,1,213,788,225,13,clean
2,2,2,742,14,2,213,922,234,61,defective
1,1,3,285,34,1,223,546,104,19,clean
1,1,4,1,2,1,1577,544,99,1,clean
5,5,6,47,216,5,186,1698,252,22,clean
2,2,8,2338,408,2,192,1241,293,122,defective
13,13,12,51,6,47,177,1098,217,15,defective
1,1,1,2,2,1,213,942,169,0,clean
1,1,2,5,5,1,1577,1034,218,0,clean
1,1,3,87,32,1,186,965,174,29,clean
1,1,4,1680,93,2,192,613,126,32,clean
1,1,5,1,1,1,177,996,182,0,clean
1,1,1,15,15,1,213,25,0,0,clean
9,9,2,10,1730,19,213,1056,229,19,clean
1,1,3,14880,266,1,223,1231,0,186,clean
3,3,5,4,6,3,1577,810,194,1,clean
1,1,6,4664,150,1,186,1840,382,44,defective
2,2,8,2114,50,2,192,1048,283,152,clean
6,6,11,12,77,6,177,2218,390,42,clean
17,17,4,10,282,43,213,110,19,17,defective
5,5,5,460,177,9,223,96,15,14,clean
7,7,9,13,170,12,1577,392,68,28,defective
4,4,12,5,21,4,186,66,2,7,clean
6,6,14,9,262,11,192,94,9,12,clean
6,6,17,25,103,11,177,115,18,4,clean
1,1,1,50,25,2,213,206,69,7,defective
3,3,3,190,53,3,223,292,108,32,defective
1,1,4,20667,332,1,1577,282,91,83,defective
1,1,5,1,2,1,186,35,8,1,clean
1,1,1,50,25,2,213,206,69,7,defective
2,2,2,684,68,2,223,237,81,22,defective
2,2,4,143,332,2,1577,282,93,42,defective
1,1,5,1,2,1,186,35,8,1,clean
1,1,1,50,25,2,213,206,69,7,defective
2,2,2,684,68,2,223,237,81,22,defective
1,1,3,20667,332,1,1577,282,91,83,defective
1,1,4,1,2,1,186,35,8,1,clean
1,1,1,25,10,1,213,50,0,5,defective
1,1,2,36,12,1,223,58,0,6,clean
1,1,3,20667,332,1,1577,282,91,83,defective
1,1,4,1,2,1,186,35,8,1,clean
1,1,1,50,15,1,213,362,139,10,defective
1,1,2,684,56,1,223,416,163,38,defective
1,1,3,20667,332,1,1577,282,91,83,defective
1,1,1,24,10,1,213,310,69,4,clean
1,1,1,272,33,1,213,1715,326,17,clean
1,1,2,400,40,1,186,2574,814,20,clean
1,1,3,11058,389,5,177,1098,293,41,defective
2,2,2,2,2,2,213,2235,189,1,clean
2,2,4,2,4,2,223,211,44,0,clean
2,2,6,58,32,2,186,978,177,24,clean
1,1,7,1680,88,1,192,187,33,60,clean
3,3,10,14,77,3,177,2705,294,28,clean
11,11,3,320,125,15,213,2446,654,24,defective
16,16,8,13,83,18,223,1669,390,10,defective
6,6,11,2,16,8,1577,1604,196,3,defective
4,4,12,1,448,6,186,1063,271,41,defective
6,6,17,118,74,10,192,1979,485,125,defective
4,4,20,718,43,4,177,2525,416,472,defective
3,3,3,36,18,8,213,2536,581,9,clean
3,3,5,177,23,4,1577,1609,366,47,clean
2,2,7,1857,115,2,192,4705,1144,123,defective
1,1,8,462,73,1,177,1538,367,66,defective
1,1,1,36,12,1,213,1084,325,6,defective
1,1,2,378,78,2,1577,42,12,21,clean
1,1,3,8,6,1,192,1036,206,2,clean
3,3,1,837,129,3,213,2232,626,21,clean
2,2,3,105,12,2,223,5357,1237,35,clean
4,4,5,46,47,5,1577,1964,283,6,defective
2,2,7,38,30,2,186,267,55,39,clean
5,5,10,16,66,6,192,762,172,20,defective
1,1,11,240,742,8,177,235,49,47,clean
7,7,1,950,277,7,213,363,78,19,defective
1,1,1,21,21,1,213,724,198,0,clean
2,2,3,2,7,2,177,3026,835,3,clean
1,1,1,7,8,1,213,86,11,7,clean
1,1,2,1,2,1,192,122,15,1,clean
1,1,1,1520,162,1,213,4322,318,152,clean
1,1,2,400,40,1,186,2574,814,20,clean
3,3,5,2667,34,4,192,4466,517,377,defective
1,1,6,10,254,4,177,1981,543,34,clean
1,1,1,1520,162,1,213,4322,318,152,clean
1,1,2,400,40,1,186,2574,814,20,clean
1,1,3,1940,393,1,192,4984,379,388,defective
1,1,4,11058,385,3,177,1156,333,68,defective
3,3,2,102,5,3,213,342,79,31,clean
1,1,3,2,2,1,223,856,189,2,clean
5,5,6,27,23,6,1577,168,43,17,defective
4,4,7,156,246,4,192,502,121,32,clean
1,1,1,30,11,1,213,829,93,5,clean
1,1,2,64,16,1,192,3349,638,8,clean
8,8,3,33,534,11,213,790,151,27,clean
9,9,8,20,14,12,223,485,107,13,defective
6,6,11,333,7,6,1577,977,234,62,defective
8,8,14,59,46,8,186,994,211,16,defective
9,9,19,14,344,13,192,1161,276,30,defective
15,15,25,20,19,30,177,932,183,18,defective
1,1,1,20,20,1,213,579,42,20,clean
2,2,3,15,4,2,177,1431,321,32,clean
4,4,3,28,20,6,223,337,114,5,defective
3,3,2,581,11,3,223,141,17,109,clean
1,1,3,1,1,1,1577,194,37,0,clean
1,1,1,1947,2114,2,223,264,61,1057,clean
1,1,2,107,223,3,1577,0,0,74,clean
3,3,3,57,27,3,223,475,131,13,defective
1,1,1,4,4,1,223,2,0,4,clean
1,1,2,12,12,1,1577,2,0,0,clean
2,2,1,4,9,2,223,385,100,0,clean
1,1,2,81,18,1,192,190,40,9,defective
1,1,1,1947,1947,1,223,500,122,1947,clean
1,1,1,7,8,1,223,5,0,7,clean
1,1,2,2,3,1,1577,5,0,2,clean
1,1,1,1947,1947,1,223,500,122,1947,clean
1,1,1,1,2,1,223,665,172,1,clean
3,3,3,2476,361,3,192,135,28,151,defective
1,1,4,510,1039,2,177,352,93,264,defective
1,1,1,3,4,1,223,517,0,1,clean
1,1,1,10,10,1,223,8,0,10,clean
1,1,2,22,23,1,192,3,0,1,clean
1,1,1,10,7,1,223,517,0,5,clean
1,1,2,1,2,1,192,539,0,1,clean
2,2,2,464,8,2,223,301,67,96,defective
3,3,4,16,15,3,1577,101,32,9,clean
1,1,5,38,21,1,186,428,69,19,clean
4,4,7,48,12,4,177,269,56,21,defective
1,1,1,3,4,1,223,517,0,1,clean
1,1,1,49770,1061,2,223,291,127,451,defective
1,1,2,22,23,1,192,3,0,1,clean
1,1,1,49770,1061,2,223,291,127,451,defective
1,1,1,219,219,1,223,169,8,219,clean
3,3,4,29,193,3,1577,1220,238,75,clean
1,1,5,1,1,1,186,170,9,1,clean
2,2,1,3,25,2,223,389,81,9,clean
1,1,2,75,75,1,1577,49,6,75,clean
2,2,1,8,16,2,223,343,106,2,clean
1,1,1,21,10,1,223,343,105,3,clean
1,1,1,1947,1947,1,223,500,122,1947,clean
1,1,1,21,10,1,223,343,105,3,clean
1,1,2,20128,568,2,192,344,113,148,defective
3,3,1,51,33,3,223,666,176,8,clean
1,1,2,209,209,1,192,116,29,209,clean
1,1,3,510,1039,2,177,352,93,264,defective
3,3,2,35,41,6,223,484,122,6,defective
1,1,3,209,209,1,192,116,29,209,clean
1,1,4,510,1039,2,177,352,93,264,defective
1,1,1,1947,1947,1,223,500,122,1947,clean
1,1,1,4,34,6,223,164,30,2,clean
1,1,1,1,2,1,223,250,68,1,clean
1,1,1,49770,473,1,223,245,86,315,defective
1,1,2,107,107,1,1577,0,0,107,clean
1,1,1,6,5,1,223,671,124,3,clean
1,1,2,5,15,2,177,557,110,1,clean
1,1,1,1947,1947,1,223,500,122,1947,clean
1,1,1,244,124,1,223,14,0,2,clean
1,1,2,20525,20525,1,1577,5808,0,20525,clean
1,1,3,4,4,1,177,179,39,2,clean
1,1,1,244,248,2,223,14,0,2,clean
1,1,1,12,12,1,223,863,208,12,clean
