@relation 'dataset_feat_message-weka.filters.unsupervised.attribute.Remove-R2,5'

@attribute comm numeric
@attribute ddev numeric
@attribute exp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {clean,defective}

@data
3,3,18,3,1366,130,16,6,9,clean
4,2,3133,4,1366,424,70,226,140,defective
8,2,16,10,1366,704,148,12,6,clean
1,1,42,1,1366,244,79,14,3,clean
1,1,665,1,1366,281,66,35,19,defective
5,2,8,5,1366,1221,287,8,4,clean
5,1,722,7,1366,692,142,341,53,defective
2,1,23,2,1366,2994,624,15,4,defective
3,9,1102,4,308,469,97,41,42,clean
1,10,4,3,244,267,66,2,0,clean
4,34,78,6,308,187,46,4,397,defective
1,35,12,1,244,514,135,4,3,clean
4,12,9100,6,308,400,81,82,109,defective
1,13,729,1,244,227,72,27,27,clean
2,11,9,2,308,489,94,5,4,clean
1,12,36,1,244,805,126,2,18,clean
13,18,9,21,308,189,39,6,11,defective
3,13,16,3,308,378,28,19,26,clean
1,14,6,1,244,296,48,6,0,clean
28,81,15,52,308,82,0,49,20,clean
11,89,42,15,244,1103,0,1115,23,clean
1,5,15688,3,244,447,87,579,99,clean
2,12,4645,4,308,597,147,247,241,clean
3,20,4,5,308,223,46,79,129,defective
3,22,24,8,244,217,51,53,76,clean
1,4,12,1,308,360,120,6,2,clean
2,5,4,2,244,407,126,3,1,clean
11,33,11,16,308,299,61,57,41,defective
1,34,85979,1,244,24,4,677,127,clean
5,25,61,8,308,347,73,179,201,defective
2,26,1015,3,244,484,118,23,19,clean
4,18,136,6,308,777,184,47,13,defective
1,19,1015,2,244,271,72,35,29,clean
1,4,175,4,244,428,63,216,54,clean
4,17,64,6,308,238,22,84,36,defective
1,18,1015,2,244,271,72,35,29,clean
1,11,216,3,308,70,6,16,26,clean
5,18,62,7,308,71,6,14,9,clean
4,10,650,6,308,308,80,174,162,defective
1,11,62,1,244,321,95,62,0,defective
7,15,276,11,308,369,89,100,132,clean
2,16,611,3,244,227,34,202,72,clean
5,15,68,7,308,355,74,71,91,defective
1,16,1,1,244,406,104,1,1,clean
1,5,36,1,308,739,1,9,4,clean
5,24,431,12,308,351,74,153,130,defective
4,26,67,10,244,197,46,49,66,clean
5,17,152,8,308,775,197,12,10,clean
9,21,271,17,308,443,71,50,58,defective
1,22,2,1,244,530,125,2,0,clean
3,26,923,4,308,668,148,22,25,clean
1,27,16,1,244,106,16,4,4,clean
3,11,15,5,308,173,38,10,3,clean
11,24,68,20,308,241,51,14,15,defective
5,13,152,5,308,777,198,13,10,clean
2,7,1620,2,308,307,63,30,54,clean
3,10,166,5,308,637,157,199,193,clean
3,10,765,4,308,347,76,241,241,clean
1,11,4,1,244,203,35,4,0,clean
16,29,9,19,308,426,65,44,49,defective
4,30,4,4,244,273,71,3,2,clean
1,2,22554,1,244,412,87,179,126,clean
10,37,635,18,308,385,76,43,34,defective
4,39,2261,8,244,192,42,51,89,defective
5,31,161,8,308,384,30,33,12,clean
3,34,45,3,244,1043,170,41,3,clean
2,4,274,4,308,2031,432,9,20,clean
8,28,1526,9,308,1605,347,154,422,defective
8,32,3619,8,244,1307,256,124,694,defective
4,19,8,4,308,259,53,7,6,clean
2,21,278,2,244,2510,389,2149,3,defective
1,5,1218,1,308,2896,713,42,29,clean
6,12,9,9,308,2198,581,7,13,clean
1,13,2,1,244,1158,274,2,0,clean
1,2,84036,1,244,558,190,298,282,clean
1,2,44217,4,244,306,71,153,168,clean
1,2,17700,3,244,259,68,403,161,clean
1,2,35098,1,244,650,165,322,109,clean
1,2,17700,2,244,415,74,429,277,clean
1,2,15600,9,244,380,77,228,159,clean
1,2,17172,1,244,225,36,106,162,clean
1,2,72,4,244,15,0,17,6,clean
1,2,17700,1,244,195,12,236,75,clean
1,3,17700,20,244,218,32,135,97,clean
3,3,90,3,244,1433,305,6,8,defective
3,17,389,3,308,575,127,11,1126,clean
3,16,6,3,308,372,107,5,0,clean
3,11,120,4,308,398,91,248,247,clean
4,14,94,4,244,224,32,124,44,clean
2,10,147,2,308,218,56,18,39,clean
2,14,253,2,308,169,29,7,78,clean
1,15,16112,1,244,52,0,106,152,clean
1,9,3,1,308,862,0,1,3,clean
1,2,84036,1,244,558,190,298,282,clean
1,3,36,4,244,139,22,118,20,clean
1,2,17700,5,244,257,31,288,180,clean
1,3,17808,42,244,302,53,188,107,clean
1,8,3,1,308,2412,371,3,1,clean
1,9,148,1,244,621,120,148,0,clean
1,3,1,1,244,34,0,0,1,clean
18,50,88,20,308,1162,278,110,40,defective
9,55,5907,11,244,2093,486,691,653,defective
2,2,24,2,308,9,0,1,12,clean
1,3,2899,1,244,2242,564,2899,0,defective
2,4,24,2,308,16,0,24,0,clean
2,6,24,2,308,16,0,24,0,clean
2,7,14,13,308,2983,266,35,34,clean
1,8,88,1,244,7525,641,11,8,clean
1,18,13,1,244,126,21,13,0,clean
1,6,254,2,244,1503,231,185,127,defective
18,33,51,27,308,1485,177,197,182,defective
2,35,15,3,244,2639,351,15,5,clean
2,10,7778,2,308,7512,1889,86,90,clean
1,2,729,1,308,378,82,27,27,clean
1,2,729,1,308,378,82,27,27,clean
1,3,100,1,308,386,99,10,10,clean
1,2,729,1,308,378,82,27,27,clean
3,51,3462,3,308,567,86,31,576,clean
5,53,3,5,244,315,58,74,14,defective
4,19,21,17,308,1140,269,2,55,clean
2,21,2,2,244,632,97,2,1,clean
1,16,416,1,244,1479,350,52,8,clean
1,4,460,1,308,342,81,20,23,defective
5,20,48,14,308,1607,145,14,147,clean
1,21,1296,1,244,6152,364,36,36,clean
10,32,3,14,308,2198,303,182,37,defective
3,35,25,5,244,2633,418,952,958,defective
6,22,140,8,308,4002,1006,42,37,clean
1,19,3392,2,308,4598,768,48,43,clean
1,20,1,1,244,646,76,1,1,clean
2,6,140,2,308,301,68,11,12,defective
2,14,407,3,308,3256,474,39,73,clean
1,8,9409,1,308,5648,408,97,97,clean
3,17,480,3,308,1117,198,43,33,defective
17,48,49,20,308,758,163,15,111,clean
4,52,6,4,244,909,143,2,15,clean
2,11,16,2,308,2288,571,4,4,clean
2,9,234,5,308,127,21,198,39,clean
1,8,13260,1,308,706,202,130,102,clean
1,6,2640,1,308,210,34,44,60,clean
2,10,9100,4,308,374,76,122,182,defective
5,18,58,5,308,343,43,8,14,clean
1,19,36,2,244,507,83,4,15,clean
1,7,432,1,308,737,1,27,16,clean
1,4,4,1,244,138,36,4,0,clean
3,7,9100,5,308,458,91,172,174,defective
6,12,1102,10,308,504,105,102,102,defective
2,3,324,2,308,219,35,324,0,defective
2,4,4,2,244,215,35,134,137,clean
2,7,934,2,308,216,58,31,74,clean
1,5,11,1,244,204,36,1,11,clean
2,10,20,2,308,777,219,10,2,clean
2,12,2,2,244,794,215,1,1,defective
1,10,714,1,308,207,49,34,21,clean
4,10,134,7,308,129,30,26,25,clean
3,12,63,3,244,92,15,93,7,clean
1,5,134,4,308,90,24,45,45,clean
1,7,418,1,308,1424,294,22,19,clean
3,13,2,3,308,286,42,2,1,clean
2,6,3,2,308,10,0,3,0,clean
2,5,140,2,308,301,68,11,12,defective
7,18,38,8,308,1718,238,120,105,clean
6,21,77,10,244,712,142,14,6,defective
1,4,3,1,308,0,0,3,0,clean
3,12,171,3,308,257,53,92,8,defective
3,4,29,4,244,517,103,10,11,clean
1,8,767,1,308,1509,385,59,13,clean
1,9,150,1,244,1534,404,15,10,clean
1,4,134,2,308,46,2,74,59,clean
11,18,101,22,308,419,70,33,43,defective
2,19,8,2,244,368,65,1,4,clean
1,4,3583,1,244,0,0,0,3583,clean
1,7,38,6,308,0,0,0,258,clean
2,9,1825,2,244,10,0,15,1807,clean
1,3,1323,1,308,0,0,0,1323,clean
2,3,5100,2,308,1794,370,42,35,clean
1,2,6,1,308,330,67,1,6,clean
1,3,44,1,308,385,63,22,2,clean
2,3,45,2,244,1010,137,14,4,clean
1,3,4,1,308,393,64,1,4,clean
1,5,5768,1,308,8018,1963,103,56,clean
1,3,14,2,244,4814,1115,0,9,clean
1,4,100,1,308,3365,635,20,5,clean
2,6,35,3,244,1076,163,125,84,defective
3,17,1603,3,308,504,69,36,33,clean
1,7,7280,1,308,1457,208,91,80,clean
2,10,170,5,308,1469,62,0,1020,clean
1,5,7280,1,308,1457,208,91,80,clean
2,4,170,4,308,1836,78,0,1070,clean
1,4,1,1,244,237,40,1,1,clean
2,11,3,12,308,1284,122,0,137,clean
5,12,61,7,308,1791,98,18,628,clean
1,13,7,1,244,130,35,7,0,clean
1,8,26,1,308,3675,156,0,26,clean
1,6,1480,1,308,169,25,40,37,clean
1,3,3472,1,244,426,62,4,868,clean
2,3,94,2,308,58,11,49,0,clean
2,5,1,2,308,217,0,1,1,clean
1,5,41,1,308,52,0,0,41,clean
1,2,1,1,308,911,166,1,1,clean
1,3,1720,1,308,129,0,40,43,clean
1,2,378,1,308,0,0,0,378,clean
1,4,101,1,308,835,157,101,1,clean
1,5,12,1,308,3412,982,2,6,clean
1,7,9409,1,308,5648,408,97,97,clean
2,4,1350,5,308,240,70,20,19,defective
1,4,432,1,308,737,1,27,16,clean
1,4,763,1,308,239,31,7,109,clean
11,14,59,15,308,294,49,42,29,defective
2,16,2,2,244,114,36,1,1,clean
1,3,1,1,308,456,87,1,1,clean
2,3,250,2,308,0,0,0,250,clean
1,4,395,1,308,0,0,0,395,clean
1,2,395,2,308,0,0,0,395,clean
1,4,9025,1,308,1032,240,95,95,clean
1,6,12,2,308,123,27,2,4,clean
1,10,324,1,308,796,203,18,18,clean
1,11,28,1,244,128,21,2,14,clean
1,3,6,1,244,874,2,2,3,clean
1,2,36,2,308,739,1,9,4,clean
5,12,6,6,308,485,100,94,102,defective
1,13,14043,1,244,167,35,93,151,clean
2,3,38,2,308,882,263,6,18,clean
1,3,969,1,308,1490,256,57,17,clean
1,2,969,1,308,1490,256,57,17,clean
1,2,969,1,308,1490,256,57,17,clean
1,2,640,1,244,902,174,32,20,clean
1,6,4,1,308,5948,1600,0,4,clean
1,3,625,1,308,911,0,25,25,clean
2,5,19,2,244,502,0,13,1,clean
2,3,1,2,308,156,0,0,1,clean
1,2,400,1,244,6634,1211,20,20,clean
1,3,1,1,244,539,135,1,1,clean
1,3,12,1,308,51,6,4,3,clean
5,22,17,5,308,2195,356,19,13,clean
2,24,175,2,244,296,62,34,35,clean
1,3,15,6,308,1323,200,3,15,clean
1,3,172,1,308,0,0,172,0,clean
1,2,85979,1,244,24,4,677,127,clean
1,2,6075,4,244,353,84,208,109,clean
1,2,85979,1,244,24,4,677,127,clean
1,3,55,6,308,0,0,0,411,clean
1,2,84036,1,244,558,190,298,282,clean
1,2,533,1,244,8,0,13,41,clean
1,2,1,1,308,147,10,1,1,clean
1,3,1225,1,308,2280,467,35,35,clean
2,6,49,2,308,1626,323,7,7,clean
2,5,12,2,308,434,36,10,9,clean
3,7,61,7,244,85,9,67,4,clean
1,2,256,1,308,817,66,16,16,clean
1,5,17700,1,244,195,12,236,75,clean
1,6,17700,1,244,195,12,236,75,clean
1,5,36,1,308,134,13,4,9,clean
1,2,1,1,244,286,3,1,1,clean
1,4,168,1,308,84,12,7,24,clean
1,2,33,1,308,1483,375,0,33,clean
1,3,2565,1,308,284,43,27,95,clean
1,4,225,1,308,1842,280,9,25,clean
2,3,69,2,244,751,162,18,7,defective
4,4,6,4,308,929,173,3,2,clean
2,6,39,2,244,893,171,18,6,defective
1,2,52,1,308,0,0,0,52,clean
1,2,52,1,308,0,0,0,52,clean
1,2,52,1,308,0,0,0,52,clean
1,2,1720,1,308,129,0,40,43,clean
1,2,15,1,244,218,34,5,3,clean
1,2,171,1,308,307,74,19,9,clean
1,4,66,1,308,924,164,6,11,clean
1,3,66,1,308,924,164,6,11,clean
4,10,8,4,308,174,22,7,1,clean
1,2,128,1,308,0,0,0,128,clean
6,3,1060,8,308,437,64,34,29,defective
2,4,8,5,244,291,60,3,3,clean
16,6,25,40,308,396,72,26,35,defective
2,7,2,2,244,375,90,52,69,clean
4,2,2640,5,308,194,33,24,32,defective
1,2,12,1,308,24,3,4,3,clean
2,3,87,2,308,182,24,9,12,clean
7,3,16,7,308,66,16,5,22,clean
1,2,216,1,308,149,33,18,12,clean
1,3,611,1,244,187,27,13,47,clean
2,2,280,2,308,416,80,16,16,clean
4,4,210,4,308,2670,529,21,18,clean
1,2,1025,1,308,111,26,41,25,defective
1,2,6,1,308,121,24,2,3,clean
1,2,1,1,308,154,26,1,1,clean
1,2,38272,1,308,2685,530,208,184,defective
1,3,3,1,244,2120,408,3,1,clean
1,2,12,1,308,124,12,4,3,clean
2,2,81,3,308,244,29,12,6,clean
1,3,7808,1,308,1938,451,64,122,defective
2,3,84,5,308,123,22,15,6,defective
10,8,13,12,308,2001,311,416,406,defective
1,3,1914,1,244,489,72,58,33,clean
1,1,5,1,308,2182,307,0,5,clean
1,1,9,1,308,5,0,3,3,clean
1,1,1690,1,308,2994,568,65,26,clean
1,1,77,2,308,266,76,11,7,clean
1,1,625,4,308,155,29,22,18,clean
1,2,1015,1,244,271,72,35,29,clean
3,1,2640,3,308,196,33,24,31,defective
1,2,1,1,244,177,33,1,1,clean
1,1,15,1,308,707,171,15,1,clean
2,1,48,2,308,39,1,48,0,clean
1,1,432,1,308,737,1,27,16,clean
1,1,432,1,308,737,1,27,16,clean
1,1,9,2,308,364,122,9,0,clean
4,3,4,5,244,280,83,4,0,clean
1,1,1323,1,308,0,0,0,1323,clean
2,2,45,3,308,125,26,17,10,defective
1,1,131,1,308,4,0,131,0,clean
1,1,131,1,308,4,0,131,0,clean
1,1,179,1,308,115,0,179,0,clean
1,1,104,1,308,0,0,0,104,clean
1,1,131,1,308,4,0,131,0,clean
1,1,220,1,308,63,0,44,5,clean
1,1,29,1,308,37,6,29,1,clean
1,1,223839,1,308,164,79,323,693,clean
1,1,223839,1,308,164,79,323,693,clean
1,1,223839,1,308,164,79,323,693,clean
1,1,223839,1,308,164,79,323,693,clean
1,1,223839,1,308,164,79,323,693,clean
1,1,7163,1,308,22,1,19,377,clean
5,1,5400,7,308,130,15,66,34,defective
1,1,69,1,308,39,4,69,0,clean
1,1,14,1,308,700,107,14,1,defective
1,1,1,1,308,407,82,1,1,clean
4,1,680,4,308,4410,1113,355,109,defective
1,2,3192,2,244,3536,826,551,532,clean
1,1,49,1,308,2926,725,49,0,clean
1,1,59,1,308,21,5,59,0,clean
10,2,36,10,308,3163,654,19,14,defective
3,1,147,3,308,216,30,9,4,clean
6,1,39,7,308,139,15,52,26,defective
1,1,395,1,308,0,0,0,395,clean
1,1,483,1,308,0,0,0,483,clean
1,1,63,4,308,33,1,113,0,clean
1,1,678,1,308,268,143,678,0,clean
1,1,5,3,308,1215,228,9,10,clean
1,1,9,1,308,34,8,9,0,clean
1,1,5329,1,308,129,28,73,73,defective
5,1,928,7,308,346,102,110,102,defective
1,2,3583,4,244,8,1,11,1791,clean
1,1,21,1,308,62,9,7,3,clean
2,1,23,2,308,16,0,23,0,clean
2,1,14,2,308,10,0,14,0,clean
1,1,4,1,308,103,20,4,0,clean
2,1,134,2,308,96,18,69,0,defective
1,1,476,1,308,1048,147,28,17,clean
1,1,48,1,308,7,0,48,0,clean
1,1,385,4,308,91,15,137,14,clean
2,1,134,2,308,96,18,67,0,defective
1,1,462,1,308,32,7,22,21,clean
1,1,62,4,308,26,1,82,0,clean
1,1,29,3,308,1064,220,21,0,clean
1,2,3583,4,244,24,4,34,1791,clean
1,1,462,1,308,32,7,22,21,clean
4,2,73,4,308,592,92,12,19,clean
1,1,21,1,308,62,9,7,3,clean
1,1,884,1,308,0,0,0,884,clean
1,1,104,1,308,0,0,0,104,clean
1,1,63,1,308,0,0,0,63,clean
2,1,30,2,308,1,0,16,1,clean
1,1,822,1,308,0,0,0,822,clean
1,1,223839,1,308,164,79,323,693,clean
1,1,462,1,308,32,7,22,21,clean
1,1,168,1,308,3124,645,24,7,defective
1,1,147,1,308,217,30,21,7,clean
1,1,678,1,308,268,143,678,0,clean
1,1,399,1,308,934,123,21,19,defective
1,1,223839,1,308,164,79,323,693,clean
1,1,33,1,308,141,11,11,3,clean
1,1,38272,1,308,2685,530,208,184,defective
2,1,2,2,308,216,30,4,3,clean
2,1,58,2,308,332,119,190,346,clean
4,1,21,4,308,294,79,72,28,defective
1,1,7163,1,308,22,1,19,377,clean
1,1,7163,1,308,22,1,19,377,clean
6,1,31,6,308,1221,252,18,4,defective
4,3,5024,26,244,350,56,35,278,defective
1,1,144,1,308,322,71,12,12,clean
1,1,1,1,308,142,32,1,0,clean
1,1,1490,3,308,404,92,559,30,clean
1,1,8,1,308,131,33,8,0,clean
1,1,384,1,308,6008,1183,32,12,clean
1,1,156,2,308,64,12,119,0,clean
1,1,9,1,308,42,11,0,9,clean
3,1,3900,3,308,274,47,24,31,defective
2,1,15,2,308,333,78,6,2,clean
1,1,19437,1,308,219,30,209,93,defective
1,1,48,1,308,44,8,8,6,clean
2,1,6596,2,308,1138,333,109,35,clean
1,1,19437,1,308,219,30,209,93,defective
2,1,242,2,308,1206,344,141,51,clean
1,1,17,1,308,17,3,17,1,clean
1,1,10,1,308,43,0,10,0,clean
2,1,812,3,308,355,54,323,29,clean
2,1,12,2,308,2618,520,107,93,defective
2,1,118,2,308,7532,1891,47,1,defective
1,1,121,2,308,2809,673,64,60,clean
1,1,384,1,308,6008,1183,32,12,clean
1,1,81,1,308,2725,539,9,9,clean
3,1,37,3,308,354,119,132,237,defective
1,1,386,1,308,1099,258,386,0,clean
1,1,5,1,308,56,11,5,0,clean
10,1,13,11,308,1703,351,17,10,defective
3,3,6612,8,244,742,135,59,500,defective
3,1,24,4,308,1142,237,18,2,defective
3,3,6612,9,244,634,109,105,443,defective
2,1,1,2,308,202,37,1,1,defective
1,1,9,1,308,118,23,0,9,clean
5,3,16,13,308,610,110,16,13,defective
1,1,34,2,308,2828,714,46,0,clean
4,3,2,4,308,37,0,4,0,defective
2,1,7,8,308,55,9,8,0,clean
1,1,7163,1,308,22,1,19,377,clean
1,1,7163,2,308,36,5,51,188,defective
1,1,7163,1,308,22,1,19,377,clean
4,2,84,4,308,2342,486,7,94,defective
2,4,6612,7,244,107,20,42,527,clean
1,1,709,5,308,513,65,691,0,clean
6,1,1,16,308,317,59,10,8,clean
1,1,256,1,308,817,66,16,16,clean
1,1,12,1,308,51,6,4,3,clean
1,1,5,1,308,773,220,5,0,clean
3,3,36,4,308,177,34,2,57,clean
1,1,30,1,308,6,0,10,3,defective
1,1,767,1,308,1509,385,59,13,clean
1,1,767,1,308,1509,385,59,13,clean
1,1,17700,1,244,195,12,236,75,clean
1,1,17700,1,244,195,12,236,75,clean
1,1,17700,4,244,328,52,461,79,clean
1,1,1015,1,244,271,72,35,29,clean
1,1,17700,2,244,332,60,436,37,clean
1,1,17700,1,244,195,12,236,75,clean
1,1,6,1,244,319,49,3,2,clean
1,1,2899,1,244,2242,564,2899,0,defective
2,2,2237,3,244,667,113,312,47,defective
1,1,2207268,1,244,1004,215,461,4788,defective
1,1,14,2,244,37,6,6,1,clean
1,1,6075,1,244,140,17,81,75,clean
1,1,1246,3,244,819,187,1246,0,clean
1,1,1246,1,244,819,187,1246,0,clean
1,1,17700,6,244,306,33,304,154,clean
1,1,60021,1,244,303,46,171,351,clean
1,1,1100694,1,244,1422,258,1533,718,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,35611,1,244,326,25,239,149,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,136,1,244,77,0,136,0,clean
1,1,84036,1,244,558,190,298,282,clean
1,1,1124,1,244,898,121,1124,0,clean
1,1,1100694,1,244,1422,258,1533,718,clean
1,1,33540,2,244,291,57,214,180,clean
1,1,1100694,1,244,1422,258,1533,718,clean
1,1,1100694,1,244,1422,258,1533,718,clean
1,1,17700,1,244,195,12,236,75,clean
1,1,89388,1,244,1004,180,764,117,clean
1,1,2025,1,244,188,31,81,25,clean
1,1,14382,1,244,160,16,141,102,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,35098,1,244,650,165,322,109,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,84036,1,244,558,190,298,282,clean
1,1,14039,1,244,429,62,139,101,clean
1,1,4674,1,244,190,53,82,57,clean
1,1,99682,2,244,619,176,257,172,clean
1,1,99682,1,244,916,245,394,253,clean
1,1,99682,1,244,916,245,394,253,clean
1,1,136,1,244,77,0,136,0,clean
1,1,1100694,1,244,1422,258,1533,718,clean
1,1,17700,1,244,195,12,236,75,clean
1,1,72,13,244,18,0,125,2,clean
1,1,17700,1,244,195,12,236,75,clean
1,1,792,1,244,530,66,792,0,clean
1,1,84036,1,244,558,190,298,282,clean
1,1,1320,2,244,152,9,151,47,clean
1,1,6,2,244,15,3,9,6,clean
2,1,24,2,244,32,6,2,3,defective
1,1,2207268,1,244,1004,215,461,4788,defective
1,1,231,1,244,760,164,33,7,defective
1,1,89388,1,244,1004,180,764,117,clean
1,1,15688,3,244,644,130,884,17,clean
1,1,15600,1,244,304,0,150,104,clean
1,1,1,1,244,367,76,1,1,clean
1,1,637,1,244,470,109,637,0,clean
1,1,637,1,244,470,109,637,0,clean
1,1,60021,1,244,303,46,171,351,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,17700,1,244,195,12,236,75,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,637,1,244,470,109,637,0,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,4875,1,244,71,0,75,65,clean
1,1,17700,1,244,195,12,236,75,clean
1,1,90,1,244,0,0,45,2,clean
1,1,475,1,244,313,45,475,0,clean
1,1,4875,1,244,71,0,75,65,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,85979,1,244,24,4,677,127,clean
1,1,637,1,244,470,109,637,0,clean
1,1,18128,1,244,365,80,103,176,clean
1,1,16291,1,244,14488,0,16291,0,clean
1,1,16291,1,244,14488,0,16291,0,clean
1,1,16291,1,244,14488,0,16291,0,clean
1,1,16291,1,244,14488,0,16291,0,clean
1,1,16291,1,244,14488,0,16291,0,clean
1,1,16291,1,244,14488,0,16291,0,clean
1,1,16291,1,244,14488,0,16291,0,clean
1,1,17,1,244,0,0,17,0,clean
1,1,17,1,244,0,0,17,0,clean
1,1,16291,1,244,14488,0,16291,0,clean
1,1,16291,1,244,14488,0,16291,0,clean
1,1,16291,1,244,14488,0,16291,0,clean
1,1,16291,1,244,14488,0,16291,0,clean
1,1,4,1,244,1780,428,4,1,clean
1,1,64,1,244,70,14,16,4,clean
1,1,26,2,244,6,1,13,13,clean
1,1,12204,1,244,618,122,113,108,clean
2,2,5024,3,244,1063,161,175,1221,defective
1,1,7917,1,244,3895,710,87,91,clean
1,1,1,1,244,219,29,1,1,clean
2,2,7,2,244,3249,569,8,0,clean
2,2,33,2,244,66,12,12,3,clean
1,1,13851,1,244,1248,198,243,57,defective
2,1,2,2,244,7,1,2,1,clean
2,1,12204,2,244,620,122,63,57,clean
1,1,2207268,1,244,1004,215,461,4788,defective
1,1,1,1,244,8529,2005,1,1,clean
1,1,174,1,244,621,167,0,174,clean
1,1,12204,1,244,618,122,113,108,clean
1,1,12,1,244,48,8,4,3,clean
1,1,7917,1,244,3895,710,87,91,clean
1,1,600,1,244,3872,707,12,50,clean
1,1,6,1,244,32,9,6,0,clean
4,3,14,5,244,16,2,16,6,clean
1,1,27,1,244,55,10,9,3,clean
1,1,33,2,244,55,10,10,3,clean
1,1,6,2,244,15,3,9,6,clean
1,1,600,2,244,1121,222,25,20,clean
1,1,10,1,244,745,196,5,2,clean
1,1,140,1,244,744,196,10,14,clean
4,3,9,4,244,123,15,53,12,defective
1,1,42,1,244,1437,307,7,6,clean
2,1,227,3,109,146,49,215,76,defective
3,3,4,5,161,253,12,7,8,clean
1,4,1692,1,30,431,142,94,18,clean
1,5,22,6,50,384,57,4,8,defective
1,6,1,1,47,947,25,1,1,clean
1,1,84,1,109,480,127,12,7,clean
2,2,990,2,161,481,130,16,23,clean
2,1,119,2,109,32,4,61,1,clean
3,3,35,8,120,2350,2349,0,170,clean
1,4,24,1,41,179,12,2,12,clean
2,1,212,3,109,26,0,122,7,clean
2,1,84,2,109,427,107,8,5,clean
8,3,31,9,153,290,71,10,5,clean
15,7,26,20,161,350,67,17,22,defective
6,10,320,6,33,220,49,45,26,defective
1,11,319,1,24,473,105,29,11,defective
2,12,315,3,21,554,132,19,15,defective
1,13,600,1,25,608,150,30,20,clean
1,14,179,6,120,0,150,0,491,clean
2,16,1,4,41,375,89,1,1,clean
1,17,9,1,50,339,86,3,3,clean
3,18,1,3,47,314,77,3,8,clean
1,1,2480,1,109,289,96,31,80,defective
1,1,1070,1,109,245,0,10,107,clean
1,1,120,1,109,19,0,120,0,clean
1,1,120,1,109,19,0,120,0,clean
1,1,120,1,109,19,0,120,0,clean
1,1,120,1,109,19,0,120,0,clean
1,1,120,1,109,19,0,120,0,clean
1,1,120,1,109,19,0,120,0,clean
1,1,235,1,109,873,176,5,47,clean
1,2,4,1,24,156,46,2,2,clean
1,3,21,2,21,5065,1110,2,4,clean
5,5,328,12,120,139,56,24,1339,clean
1,6,13176,1,41,937,204,122,108,clean
1,7,513,1,47,135,32,19,27,clean
1,1,1575,1,109,0,32,0,1575,clean
1,1,391,1,109,835,23,23,17,defective
2,2,12,2,33,829,23,7,5,clean
1,1,70,1,109,165,43,35,2,clean
1,2,1,1,153,165,43,1,1,clean
1,3,1,1,41,164,43,1,0,clean
1,1,1,1,109,1464,235,1,1,clean
1,1,64,1,109,9652,2111,8,8,clean
1,2,13516,1,120,0,2111,0,13516,clean
1,1,1575,1,109,0,2111,0,1575,clean
1,1,1575,1,109,0,2111,0,1575,clean
1,1,405,1,109,911,188,15,27,clean
1,1,6888,1,109,584,160,84,82,clean
1,1,235,1,109,873,176,5,47,clean
1,1,5336,1,109,0,176,0,5336,clean
2,1,119,2,109,32,4,61,1,clean
2,1,15,2,109,21,0,0,13,clean
1,1,9,1,109,40,8,3,3,clean
2,1,5336,5,109,3864,909,0,1071,clean
1,1,1680,1,109,710,134,42,40,clean
1,2,9,1,153,699,132,3,3,clean
1,3,68,3,161,526,51,5,6,clean
1,1,99,1,109,84,17,11,9,clean
1,2,17,1,161,85,18,17,0,clean
1,3,3,1,21,85,18,0,3,clean
1,1,500,1,109,378,99,25,20,defective
1,1,391,1,109,835,23,23,17,defective
1,1,3696,1,109,5250,1407,88,42,clean
1,2,2205,1,161,5432,1460,49,45,clean
1,1,3696,1,109,5250,1407,88,42,clean
1,2,2205,1,161,5432,1460,49,45,clean
1,1,1029,1,109,2252,547,49,21,clean
1,2,320,1,153,2321,547,40,8,defective
1,3,558,1,33,2379,548,62,9,defective
1,1,14868,1,109,2272,609,118,126,defective
1,2,2311,2,161,1148,307,11,1155,clean
1,3,80,1,30,2329,613,80,0,clean
1,1,36616,1,109,323,85,184,199,clean
1,1,8,1,109,32,4,4,2,clean
1,1,119,1,109,32,4,119,0,clean
1,1,119,1,109,32,4,119,0,clean
1,1,6,2,109,55,10,16,0,clean
1,1,6,1,109,25,0,6,0,clean
1,1,405,1,109,911,188,15,27,clean
