@relation 'dataset_feat_message-weka.filters.unsupervised.attribute.Remove-R2,5'

@attribute comm numeric
@attribute ddev numeric
@attribute exp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {clean,defective}

@data
1,3,2,1,192,3504,313,2,0,clean
1,4,5,1,177,1331,131,0,5,clean
1,1,15,1,213,25,0,0,15,clean
1,1,4,1,213,663,114,2,2,clean
5,3,29,14,213,1923,466,78,4,defective
2,5,1,2,223,1530,381,1,2,clean
5,7,109,8,1577,1517,476,105,98,defective
1,8,5106,1,186,1109,316,74,69,clean
3,10,3342,4,192,790,173,194,97,defective
2,11,10,5,177,741,180,437,181,defective
1,1,6,1,213,1410,371,0,6,clean
1,1,40,2,213,68,27,10,4,clean
1,2,1470,2,1577,271,0,1447,0,clean
2,3,84,2,186,70,31,67,6,clean
1,1,1957,1,213,1069,235,19,103,clean
2,2,14,2,213,313,69,3,4,clean
1,1,35,1,213,3414,634,5,7,clean
1,2,24,1,223,3422,637,8,3,clean
1,3,8,1,192,1036,206,2,4,clean
1,4,95,1,177,878,234,19,5,clean
1,1,24,1,213,642,147,12,2,clean
1,1,31759,1,213,1410,321,349,91,clean
1,1,5,1,213,188,49,5,1,clean
1,1,31759,1,213,1410,321,349,91,clean
1,2,6643,2,186,1,0,91,73,clean
6,5,62,7,213,1263,100,72,6,defective
2,6,1,7,223,24,2,2,2,clean
2,8,480,2,1577,1851,118,138,7,defective
4,11,61,6,186,559,31,47,0,defective
4,14,272,5,192,2100,183,147,1,defective
6,18,36,9,177,1737,175,18,3,defective
2,2,6,2,213,6027,1516,12,0,defective
1,3,18,1,1577,6193,1561,6,3,clean
1,1,1052,2,213,1272,260,236,263,defective
1,2,1,1,223,2621,526,1,1,clean
1,1,1052,2,213,1272,260,236,263,defective
3,1,32,3,213,526,132,11,11,clean
3,1,25,3,213,1171,278,33,18,defective
1,2,96,1,223,1439,347,16,6,defective
1,3,1092,2,192,761,174,35,25,defective
3,1,336,3,213,362,78,29,16,clean
1,1,75,1,213,6335,1915,15,5,clean
1,2,226576,1,1577,6829,2100,476,476,defective
2,1,1,2,213,635,134,1,1,defective
2,2,858,2,192,648,134,18,15,clean
3,1,950,3,213,358,79,20,25,defective
2,2,268,2,213,1412,337,50,25,defective
3,1,168,3,213,6316,1921,16,3,defective
1,2,226576,1,1577,6829,2100,476,476,defective
1,3,112,1,186,6904,2129,14,8,clean
7,5,1022,7,192,7147,2183,61,13,defective
1,1,270,1,213,6391,1939,45,6,clean
1,2,226576,1,1577,6829,2100,476,476,defective
2,3,1092,2,192,6995,2143,33,33,defective
1,1,5,1,213,355,0,5,0,clean
1,1,11571,1,213,698,127,133,87,defective
1,2,62,1,223,726,133,31,2,defective
2,1,510,2,213,263,72,30,10,defective
1,2,1,1,1577,257,69,1,1,clean
1,1,529,1,213,1741,424,23,23,clean
1,1,18,1,213,306,81,18,0,clean
2,2,4,2,186,383,99,14,10,clean
1,1,120,1,213,379,75,30,4,clean
1,1,62,1,213,1868,396,31,2,clean
1,2,9310,1,192,1987,409,98,95,clean
3,3,269010,5,177,1933,382,230,189,defective
1,1,80,1,213,298,73,80,0,clean
1,1,232,1,213,4968,1337,29,8,clean
1,1,31,1,213,317,85,31,0,clean
1,2,486,1,186,386,99,27,18,clean
7,1,950,7,213,360,79,26,20,defective
2,1,26,2,213,600,114,32,10,clean
