@relation 'dataset_feat_message-weka.filters.unsupervised.attribute.Remove-R3,5,7,11'

@attribute comm numeric
@attribute adev numeric
@attribute exp numeric
@attribute modd numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute label {clean,defective}

@data
1,1,8,1,1036,206,2,clean
1,1,95,1,878,234,19,clean
1,1,24,1,642,147,12,clean
1,1,31759,1,1410,321,349,clean
1,1,5,1,188,49,5,clean
1,1,31759,1,1410,321,349,clean
1,1,6643,2,1,0,91,clean
6,6,62,7,1263,100,72,defective
2,2,1,7,24,2,2,clean
2,2,480,2,1851,118,138,defective
4,4,61,6,559,31,47,defective
4,4,272,5,2100,183,147,defective
6,6,36,9,1737,175,18,defective
2,2,6,2,6027,1516,12,defective
1,1,18,1,6193,1561,6,clean
1,1,1052,2,1272,260,236,defective
1,1,1,1,2621,526,1,clean
1,1,1052,2,1272,260,236,defective
3,3,32,3,526,132,11,clean
3,3,25,3,1171,278,33,defective
1,1,96,1,1439,347,16,defective
1,1,1092,2,761,174,35,defective
3,3,336,3,362,78,29,clean
1,1,75,1,6335,1915,15,clean
1,1,226576,1,6829,2100,476,defective
2,2,1,2,635,134,1,defective
2,2,858,2,648,134,18,clean
3,3,950,3,358,79,20,defective
2,2,268,2,1412,337,50,defective
3,3,168,3,6316,1921,16,defective
1,1,226576,1,6829,2100,476,defective
1,1,112,1,6904,2129,14,clean
7,7,1022,7,7147,2183,61,defective
1,1,270,1,6391,1939,45,clean
1,1,226576,1,6829,2100,476,defective
2,2,1092,2,6995,2143,33,defective
1,1,5,1,355,0,5,clean
1,1,11571,1,698,127,133,defective
1,1,62,1,726,133,31,defective
2,2,510,2,263,72,30,defective
1,1,1,1,257,69,1,clean
1,1,529,1,1741,424,23,clean
1,1,18,1,306,81,18,clean
2,2,4,2,383,99,14,clean
1,1,120,1,379,75,30,clean
1,1,62,1,1868,396,31,clean
1,1,9310,1,1987,409,98,clean
3,3,269010,5,1933,382,230,defective
1,1,80,1,298,73,80,clean
1,1,232,1,4968,1337,29,clean
1,1,31,1,317,85,31,clean
1,1,486,1,386,99,27,clean
7,7,950,7,360,79,26,defective
2,2,26,2,600,114,32,clean
1,1,17,1,992,217,17,clean
1,1,18,1,0,0,6,clean
1,1,8,1,0,0,4,clean
14,14,972,33,933,234,32,defective
8,8,34,12,813,205,13,clean
14,14,24,18,1620,322,1189,defective
12,12,75,16,445,95,53,defective
8,8,1551,11,760,193,123,defective
9,9,17,11,726,181,209,defective
1,1,390,1,788,225,13,clean
2,2,742,2,922,234,61,defective
1,1,285,1,546,104,19,clean
1,1,1,1,544,99,1,clean
5,5,47,5,1698,252,22,defective
2,2,2338,2,1241,293,122,clean
13,13,51,47,1098,217,15,defective
1,1,2,1,942,169,0,clean
1,1,5,1,1034,218,0,clean
1,1,87,1,965,174,29,clean
1,1,1680,2,613,126,32,clean
1,1,1,1,996,182,0,clean
1,1,15,1,25,0,0,clean
9,9,10,19,1056,229,19,defective
1,1,14880,1,1231,0,186,clean
3,3,4,3,810,194,1,clean
1,1,4664,1,1840,382,44,clean
2,2,2114,2,1048,283,152,clean
6,6,12,6,2218,390,42,defective
17,17,10,43,110,19,17,defective
5,5,460,9,96,15,14,clean
7,7,13,12,392,68,28,defective
4,4,5,4,66,2,7,clean
6,6,9,11,94,9,12,clean
6,6,25,11,115,18,4,clean
1,1,50,2,206,69,7,defective
3,3,190,3,292,108,32,defective
1,1,20667,1,282,91,83,clean
1,1,1,1,35,8,1,clean
1,1,50,2,206,69,7,defective
2,2,684,2,237,81,22,clean
2,2,143,2,282,93,42,clean
1,1,1,1,35,8,1,clean
1,1,50,2,206,69,7,defective
2,2,684,2,237,81,22,clean
1,1,20667,1,282,91,83,clean
1,1,1,1,35,8,1,clean
1,1,25,1,50,0,5,defective
1,1,36,1,58,0,6,clean
1,1,20667,1,282,91,83,clean
1,1,1,1,35,8,1,clean
1,1,50,1,362,139,10,defective
1,1,684,1,416,163,38,clean
1,1,20667,1,282,91,83,clean
1,1,24,1,310,69,4,clean
1,1,272,1,1715,326,17,clean
1,1,400,1,2574,814,20,clean
1,1,11058,5,1098,293,41,defective
2,2,2,2,2235,189,1,clean
2,2,2,2,211,44,0,clean
2,2,58,2,978,177,24,clean
1,1,1680,1,187,33,60,clean
3,3,14,3,2705,294,28,clean
11,11,320,15,2446,654,24,defective
16,16,13,18,1669,390,10,defective
6,6,2,8,1604,196,3,clean
4,4,1,6,1063,271,41,defective
6,6,118,10,1979,485,125,defective
4,4,718,4,2525,416,472,defective
3,3,36,8,2536,581,9,defective
3,3,177,4,1609,366,47,defective
2,2,1857,2,4705,1144,123,defective
1,1,462,1,1538,367,66,defective
1,1,36,1,1084,325,6,clean
1,1,378,2,42,12,21,clean
1,1,8,1,1036,206,2,clean
3,3,837,3,2232,626,21,clean
2,2,105,2,5357,1237,35,clean
4,4,46,5,1964,283,6,defective
2,2,38,2,267,55,39,defective
5,5,16,6,762,172,20,defective
1,1,240,8,235,49,47,clean
7,7,950,7,363,78,19,defective
1,1,21,1,724,198,0,clean
2,2,2,2,3026,835,3,clean
1,1,7,1,86,11,7,clean
1,1,1,1,122,15,1,clean
1,1,1520,1,4322,318,152,clean
1,1,400,1,2574,814,20,clean
3,3,2667,4,4466,517,377,defective
1,1,10,4,1981,543,34,clean
1,1,1520,1,4322,318,152,clean
1,1,400,1,2574,814,20,clean
1,1,1940,1,4984,379,388,defective
1,1,11058,3,1156,333,68,defective
3,3,102,3,342,79,31,defective
1,1,2,1,856,189,2,clean
5,5,27,6,168,43,17,clean
4,4,156,4,502,121,32,clean
1,1,30,1,829,93,5,clean
1,1,64,1,3349,638,8,clean
8,8,33,11,790,151,27,defective
9,9,20,12,485,107,13,defective
6,6,333,6,977,234,62,defective
8,8,59,8,994,211,16,defective
9,9,14,13,1161,276,30,defective
15,15,20,30,932,183,18,defective
1,1,20,1,579,42,20,clean
2,2,15,2,1431,321,32,clean
4,4,28,6,337,114,5,clean
3,3,581,3,141,17,109,clean
1,1,1,1,194,37,0,clean
