@relation 'dataset_feat_message-weka.filters.unsupervised.attribute.Remove-R3,6-9,11'

@attribute comm numeric
@attribute adev numeric
@attribute exp numeric
@attribute oexp numeric
@attribute addl numeric
@attribute label {clean,defective}

@data
1,1,49770,1061,451,defective
1,1,22,23,1,clean
1,1,49770,1061,451,defective
1,1,219,219,219,clean
3,3,29,193,75,clean
1,1,1,1,1,clean
2,2,3,25,9,clean
1,1,75,75,75,clean
2,2,8,16,2,clean
1,1,21,10,3,clean
1,1,1947,1947,1947,clean
1,1,21,10,3,clean
1,1,20128,568,148,clean
3,3,51,33,8,clean
1,1,209,209,209,clean
1,1,510,1039,264,defective
3,3,35,41,6,clean
1,1,209,209,209,clean
1,1,510,1039,264,defective
1,1,1947,1947,1947,clean
1,1,4,34,2,clean
1,1,1,2,1,clean
1,1,49770,473,315,defective
1,1,107,107,107,clean
1,1,6,5,3,clean
1,1,5,15,1,clean
1,1,1947,1947,1947,clean
1,1,244,124,2,clean
1,1,20525,20525,20525,clean
1,1,4,4,2,clean
1,1,244,248,2,clean
1,1,12,12,12,clean
1,1,8520,202,142,defective
1,1,1947,1947,1947,clean
2,2,15,35,17,defective
1,1,42,26,12,clean
2,2,31320,462,75,clean
1,1,2759,3141,1570,defective
1,1,2759,3141,1570,defective
1,1,337,337,0,clean
1,1,2759,4072,1379,defective
1,1,2759,4072,1379,defective
1,1,20,24,10,clean
1,1,38,21,19,clean
1,1,16,8,4,clean
1,1,1,2,1,clean
1,1,774,95,86,defective
1,1,537,537,537,defective
3,3,1501,1510,503,defective
2,2,8,162,45,defective
1,1,11562,223,82,clean
1,1,16,76,14,clean
1,1,60,17,5,clean
1,1,1,2,1,clean
1,1,1,2,1,clean
1,1,1158,1158,1158,clean
1,1,4,4,4,clean
1,1,4,4,4,clean
2,2,294,691,207,clean
3,3,9,25,2,clean
2,2,15,1482,92,clean
1,1,4,4,4,clean
2,2,36,41,20,clean
1,1,6,7,6,clean
1,1,1,2,1,clean
1,1,61,61,61,clean
1,1,4,4,2,clean
1,1,376,55,47,clean
1,1,376,55,47,clean
1,1,376,55,47,clean
1,1,11,11,0,clean
3,3,45,36,6,clean
1,1,13,13,13,clean
2,2,3,35,17,clean
1,1,127,127,127,clean
1,1,77070,1171,1101,defective
1,1,1,2,1,clean
1,1,2759,2759,2759,defective
1,1,2759,2759,2759,defective
1,1,1,2,1,clean
1,1,1947,1947,1947,clean
1,1,244,124,2,clean
1,1,244,124,2,clean
1,1,1947,3165,1582,clean
1,1,3,36,10,clean
1,1,3172,2327,101,clean
1,1,576,525,36,clean
1,1,4,60,4,clean
1,1,1160,1499,190,clean
1,1,5,406,9,clean
1,1,18952,287,184,clean
1,1,31320,2331,82,clean
1,1,1,2,1,defective
1,1,26,26,0,clean
1,1,337,1650,0,clean
1,1,2759,2759,2759,defective
1,1,1,2,1,clean
1,1,774,95,86,defective
1,1,525,525,525,defective
1,1,4,4,2,clean
1,1,10,10,10,clean
1,1,39,39,39,clean
2,2,1,28,5,clean
1,1,1947,1947,1947,clean
1,1,1947,1947,1947,clean
1,1,1947,1947,1947,clean
1,1,1947,1947,1947,clean
1,1,1947,1947,1947,clean
1,1,1947,1947,1947,clean
1,1,1947,1947,1947,clean
1,1,1947,1947,1947,clean
1,1,1947,1947,1947,clean
1,1,1947,1947,1947,clean
1,1,1947,1947,1947,clean
1,1,1947,1947,1947,clean
1,1,1947,1947,1947,clean
1,1,1947,1947,1947,clean
1,1,3498,181,22,clean
1,1,9,10,1,clean
1,1,230,230,230,clean
1,1,688,94,86,clean
1,1,5,5,0,clean
1,1,244,124,2,clean
1,1,112727,672,323,clean
3,3,7828,445,139,defective
1,1,7,7,7,clean
1,1,4,4,2,clean
1,1,35,12,7,clean
1,1,4,18,4,clean
1,1,17,17,17,clean
1,1,5,5,5,clean
1,1,12320,237,160,defective
1,1,299,36,23,clean
1,1,162,33,27,clean
1,1,14,14,14,clean
1,1,6336,188,144,clean
1,1,754,55,29,clean
1,1,176,176,176,clean
1,1,1294,1294,1294,defective
2,2,17280,322,92,defective
1,1,1,2,1,clean
1,1,450,59,50,defective
1,1,1,2,1,clean
1,1,20,12,10,clean
3,3,17280,753,199,defective
2,2,6,265,82,defective
1,1,1294,1294,1294,defective
1,1,410,51,10,clean
3,3,187,14,54,defective
1,1,226576,952,476,defective
1,1,1,1,1,clean
4,4,71,1318,327,defective
2,2,537,550,273,defective
1,1,6,6,6,clean
1,1,7828,431,412,defective
1,1,204,204,204,defective
1,1,5562,327,309,clean
1,1,132,28,22,clean
1,1,81,36,6,clean
2,2,361,329,92,defective
3,3,20,320,64,clean
1,1,1294,1294,1294,defective
1,1,28,11,7,clean
1,1,83,83,83,defective
1,1,1294,1294,1294,defective
1,1,37,37,37,clean
1,1,1294,1294,1294,defective
1,1,3,4,1,clean
1,1,10,11,10,clean
2,2,1294,1314,653,defective
1,1,8,9,8,clean
1,1,9,6,3,clean
2,2,1,22,6,clean
3,3,4902,238,61,clean
1,1,425,42,25,clean
1,1,35,35,35,clean
1,1,244,244,244,clean
1,1,1344,1344,1344,clean
3,3,5,2,6,clean
1,1,4,4,2,clean
1,1,154,25,14,clean
1,1,2,2,2,defective
1,1,8,8,8,clean
1,1,1,1,1,clean
1,1,806,3130,403,defective
2,2,632,122,13,clean
1,1,25,10,5,clean
1,1,72,17,9,defective
1,1,24,25,24,defective
1,1,285,34,19,clean
1,1,12,13,12,clean
1,1,4,4,2,clean
1,1,9,6,3,clean
3,3,190,151,39,defective
1,1,20667,332,83,clean
1,1,1,2,1,clean
1,1,8,84,35,clean
1,1,47,806,0,clean
1,1,2,2,0,clean
4,4,23,15,17,clean
1,1,400,40,20,defective
1,1,9,9,9,clean
1,1,5,5,5,clean
2,2,4,13,3,clean
1,1,1,2,1,clean
1,1,72,17,9,defective
2,2,4,2,12,defective
1,1,3,3,0,clean
1,1,13,13,13,clean
1,1,25,10,5,clean
1,1,121,22,11,clean
1,1,1,2,1,clean
4,4,16,784,77,defective
3,3,94,115,27,clean
1,1,86,86,86,clean
1,1,3875235,4204,2839,clean
1,1,86,86,86,clean
1,1,12,12,0,clean
1,1,15,15,0,clean
1,1,16,17,16,defective
1,1,12,24,12,clean
2,2,45,25,8,clean
5,5,11,4,19,defective
5,5,132,1450,108,defective
5,5,17,19,69,defective
1,1,185,360,180,clean
1,1,86,86,86,clean
1,1,171,171,171,clean
1,1,86,86,86,clean
1,1,1649,1649,1649,clean
1,1,107,107,107,clean
1,1,185,185,185,clean
1,1,56,10663,5331,clean
1,1,806,806,806,defective
2,2,23,31,15,clean
1,1,4,4,2,clean
1,1,107,107,107,clean
1,1,1851,1851,0,clean
1,1,78,78,78,clean
2,2,578,3476,254,clean
1,1,10318,2420,182,clean
2,2,578,3476,254,clean
1,1,78,78,78,clean
2,2,578,989,156,clean
1,1,38,38,38,clean
1,1,192,38,6,clean
1,1,4,4,0,clean
1,1,2916,108,54,clean
1,1,169,26,13,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,351,351,351,defective
1,1,8,6,4,clean
3,3,287,3467,284,defective
1,1,905,256,97,defective
2,2,876,931,455,defective
2,2,287,2410,369,defective
1,1,905,256,97,defective
1,1,351,351,351,defective
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
1,1,22401,22401,22401,clean
