@relation dataset_file

@attribute comm numeric
@attribute adev numeric
@attribute ddev numeric
@attribute exp numeric
@attribute oexp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {clean,defective}

@data
1,1,5,1,2,1,1355,258,61,1,1,clean
2,2,2,51,42,2,2188,264,4,11,12,clean
1,1,3,2,2,1,1454,263,4,0,2,clean
1,1,4,1,2,1,1520,263,4,1,1,clean
5,5,7,1,4,5,1700,264,4,1,0,clean
1,1,8,8,6,1,1355,267,4,4,2,clean
2,2,1,9,7,2,2188,473,107,1,2,clean
3,3,2,1,10,3,1454,473,107,1,1,clean
6,6,5,10,234,6,1520,528,118,31,9,clean
5,5,6,1,16,5,1700,555,125,2,1,clean
1,1,7,4,4,1,1355,557,125,2,2,clean
2,2,1,1,12,2,2188,894,227,3,2,clean
1,1,2,9,6,1,1692,895,227,3,3,clean
3,3,5,12,3,3,1454,910,231,9,4,clean
5,5,7,1,6,5,1520,910,231,1,1,clean
4,4,8,2754,173,4,1700,887,221,16,27,clean
1,1,9,1,2,1,1355,880,219,1,1,clean
5,5,1,1,12,5,2188,249,64,1,1,clean
2,2,3,16,16,2,1692,255,67,7,6,clean
5,5,5,3,9,5,1454,254,66,3,1,clean
1,1,6,16,10,1,1520,260,67,8,2,clean
4,4,2,23,697,4,1700,365,70,174,0,clean
2,2,2,5,2,2,2188,560,135,13,0,clean
1,1,3,100,20,1,1700,560,135,10,10,clean
4,4,5,18,16,4,1355,565,136,21,17,clean
10,10,2,102,62,10,2188,1649,396,13,7,clean
3,3,3,1,15,3,1692,1655,399,2,2,clean
7,7,4,4,24,7,1454,1655,399,2,1,clean
8,8,7,11,68,8,1520,1691,407,10,1,clean
6,6,9,31,536,6,1700,1588,387,9,82,clean
5,5,12,17,18,5,1355,1495,372,10,4,clean
1,1,1,2,2,1,1692,672,185,2,0,clean
2,2,1,1,4,2,1454,174,18,1,1,clean
1,1,2,1,2,1,1520,174,18,1,1,clean
2,2,1,1,6,2,2188,467,105,1,1,clean
3,3,3,286,363,3,1454,551,128,89,32,clean
2,2,4,6,7,2,1520,595,141,1,2,clean
1,1,5,15,8,1,1700,597,142,5,3,clean
1,1,6,1,2,1,1355,597,142,1,1,clean
2,2,1,384,46,2,1454,92,0,16,6,clean
1,1,1,324,324,1,1692,260,31,324,0,clean
1,1,1,143,24,1,1454,329,114,13,11,clean
1,1,1,85,85,1,1520,50,8,85,0,clean
2,2,2,32,43,2,1700,77,12,19,2,clean
2,2,3,25,28,2,1355,78,12,13,1,clean
1,1,1,31,31,1,1692,52,17,31,0,defective
1,1,2,16,17,1,1454,66,19,16,1,clean
1,1,1,8,8,1,1692,10,0,8,0,defective
1,1,2,15,15,1,1454,11,0,15,0,clean
1,1,1,289,34,1,2188,130,18,17,17,clean
1,1,1,1,2,1,2188,124,14,1,1,clean
1,1,1,64,20,1,2188,72,12,16,4,clean
1,1,1,1,1,1,2188,77,14,1,0,clean
1,1,1,1107,68,1,2188,168,41,41,27,clean
1,1,1,9,6,1,1692,4,0,3,3,clean
1,1,1,1,4,2,2188,91,0,1,1,clean
1,1,1,256,32,1,2188,441,60,16,16,clean
1,1,1,294,294,1,1520,147,24,294,0,defective
1,1,2,1,2,1,1700,147,24,1,1,clean
1,1,3,12,12,1,1355,145,24,0,12,clean
1,1,1,1,2,1,2188,182,36,1,1,clean
1,1,2,4,5,1,1692,182,36,4,1,clean
3,3,4,153,206,3,1454,281,54,56,13,clean
1,1,5,21,21,1,1700,293,54,21,0,clean
2,2,6,4,12,2,1355,293,54,3,3,defective
8,8,3,38,14,8,2188,421,139,18,7,clean
1,1,4,10,10,1,1692,463,155,10,0,clean
2,2,6,2,2,2,1520,467,156,4,0,clean
1,1,7,1,2,1,1700,471,158,1,1,clean
3,3,2,4,25,3,2188,90,14,7,1,clean
1,1,3,2,2,1,1692,96,16,2,0,clean
1,1,4,1,2,1,1520,96,16,1,1,clean
1,1,1,19,20,1,2188,164,29,19,1,clean
1,1,2,24,10,1,1700,160,28,4,6,clean
1,1,1,7,7,1,2188,31,1,7,0,clean
2,2,2,20,26,3,1454,999,209,9,2,clean
1,1,3,4,4,1,1700,1003,210,2,2,clean
4,4,4,1360,573,7,1355,1017,212,41,40,clean
1,1,1,1,2,1,1454,129,0,1,1,clean
3,3,2,275,302,4,1355,129,0,41,34,clean
2,2,2,1,3,2,2188,53,1,1,1,clean
1,1,3,9,9,1,1355,50,1,0,9,clean
1,1,1,1,2,1,1454,290,65,1,1,clean
1,1,1,1,2,1,2188,1011,249,1,1,clean
1,1,2,1221,70,1,1700,1010,249,37,33,clean
1,1,1,2,2,1,1692,21,5,2,0,clean
1,1,1,1,2,1,1520,2496,317,1,1,clean
4,4,1,78,90,4,1355,40,6,21,1,clean
1,1,1,1,1,1,2188,118,20,1,0,clean
1,1,2,1,2,1,1520,118,20,1,1,clean
1,1,1,2,2,1,2188,238,46,2,0,clean
1,1,1,4,4,1,2188,115,23,2,2,clean
1,1,2,14022,253,1,1454,165,33,171,82,clean
1,1,3,18,11,1,1520,171,34,9,2,clean
1,1,1,17,18,1,1454,25,0,17,1,clean
1,1,1,69,69,1,1355,34,9,69,0,clean
1,1,1,74,148,2,1355,7,0,74,0,clean
1,1,1,2,2,1,1692,702,185,2,0,clean
1,1,2,1,2,1,1520,702,185,1,1,clean
1,1,1,1,1,1,1355,15,0,1,0,clean
1,1,1,1,0,1,1520,0,0,0,0,clean
1,1,1,24,14,1,1692,41,9,12,2,clean
2,2,1,1,5,2,1454,25,6,2,0,clean
1,1,1,60,60,1,1700,20,6,60,0,clean
4,4,2,162,173,4,1454,128,19,100,3,clean
1,1,3,1,1,1,1700,209,39,1,0,clean
4,4,2,126,148,5,1454,48,4,74,0,clean
1,1,1,36,12,1,1700,93,19,6,6,clean
1,1,1,16,8,1,1700,28,0,4,4,clean
1,1,1,12,7,1,1700,143,0,3,4,clean
1,1,1,8,8,1,2188,95,29,0,8,clean
1,1,1,169,26,1,2188,334,35,13,13,clean
1,1,2,432,43,1,1700,325,33,16,27,clean
1,1,1,1,1,1,2188,76,18,0,1,clean
1,1,1,30,11,1,1454,77,16,5,6,clean
1,1,1,1,2,1,1454,42,5,1,1,clean
1,1,1,1,2,1,1454,809,170,1,1,clean
2,2,2,650,34,2,1692,1156,0,39,20,clean
3,3,4,3,5,3,1454,1157,0,2,1,clean
1,1,5,115,28,1,1700,1176,0,23,5,clean
1,1,1,2,2,1,1520,18,0,0,2,clean
1,1,1,4,4,1,2188,69,17,2,2,clean
1,1,2,2,2,1,1692,71,18,2,0,clean
2,2,3,1,29,2,1520,73,18,9,5,clean
1,1,4,1,2,1,1700,76,19,1,1,clean
1,1,1,1,2,1,1520,22,0,1,1,clean
2,2,2,1,0,2,1454,12,0,0,0,clean
10,10,2,257,1095,10,2188,567,103,104,7,clean
7,7,3,275,100,7,1692,655,118,8,5,clean
3,3,4,1,7,3,1520,655,120,1,1,clean
2,2,6,26,54,2,1700,653,118,14,13,clean
5,5,9,23,1,5,1355,638,114,8,12,clean
4,4,3,3,2,4,2188,945,211,1,1,clean
1,1,4,4,4,1,1692,946,211,2,2,clean
2,2,6,2,2,2,1454,947,212,2,1,clean
1,1,7,4,4,1,1520,947,212,2,2,clean
2,2,9,11,8,2,1700,952,213,8,1,clean
3,3,2,77,212,3,2188,154,31,80,1,defective
