@relation dataset_evaluation_feat_message-weka.filters.supervised.instance.SMOTE-C0-K5-P300.0-S1

@attribute revi numeric
@attribute refa numeric
@attribute bugf numeric
@attribute auth numeric
@attribute addl numeric
@attribute addm numeric
@attribute adda numeric
@attribute reml numeric
@attribute remm numeric
@attribute rema numeric
@attribute cchl numeric
@attribute cchm numeric
@attribute ccha numeric
@attribute maxc numeric
@attribute avgc numeric
@attribute aage numeric
@attribute wage numeric
@attribute label {clean,defective}

@data
9,4,1,3,5928,818,349,163,9,10,5765,815,339,25,9,5.57,5.57,clean
2,1,0,1,150,139,75,2,2,1,148,139,74,11,6,3.29,3.29,clean
5,2,1,2,1540,6,171,31,7,3,1509,370,168,17,8,5,5,clean
5,3,0,2,197,73,39,47,9,9,150,70,30,25,14,5.25,5.25,defective
3,1,1,2,91,28,15,166,8,28,-75,20,-12,11,6,6.93,6.93,clean
4,3,0,2,884,4,110,129,5,16,755,186,94,25,14,3.39,3.39,clean
1,0,0,1,75,75,75,0,0,0,75,75,75,7,7,3.29,3.29,defective
1,0,0,1,260,130,130,142,71,71,118,59,59,2,2,4.07,4.07,clean
1,0,0,1,31,31,31,2,2,2,29,29,29,1,1,5.18,5.18,clean
2,0,0,1,23,6,12,18,2,9,5,4,2,21,14,7.09,7.09,clean
1,0,0,1,0,0,0,7,7,7,-7,-7,-7,13,13,6.09,6.09,clean
2,0,1,1,3,1,1,3,1,1,0,0,0,4,2,2.19,2.19,clean
1,0,1,1,14,14,14,0,0,0,14,14,14,1,1,5.95,5.95,clean
1,0,0,1,0,0,0,5,5,5,-5,-5,-5,4,4,5.49,5.49,clean
1,0,0,1,91,91,91,58,58,58,33,33,33,1,1,6.68,6.68,defective
1,0,0,1,0,0,0,2,2,2,-2,-2,-2,8,8,3.39,3.39,clean
5,0,4,2,110,5,22,22,6,4,88,39,18,2,1,5.02,5.02,clean
1,0,0,1,0,0,0,9,9,9,-9,-9,-9,13,13,7.49,7.49,clean
1,0,0,1,5,5,5,0,0,0,5,5,5,2,2,4.45,4.45,clean
1,0,0,1,3,3,3,0,0,0,3,3,3,11,11,7.69,7.69,clean
2,0,0,1,59,32,30,58,31,29,1,5,0,1,1,4.73,4.73,clean
1,0,1,1,18,18,18,80,80,80,-62,-62,-62,5,5,7.81,7.81,defective
1,0,0,1,4,4,4,0,0,0,4,4,4,11,11,7.96,7.96,clean
1,0,1,1,4,4,4,0,0,0,4,4,4,2,2,8.79,8.79,clean
6,0,6,2,543,7,54,302,78,30,241,46,24,11,3,11.51,11.51,defective
1,0,0,1,87,87,87,28,28,28,59,59,59,2,2,2.43,2.43,clean
1,0,0,1,16,16,16,7,7,7,9,9,9,3,3,4.57,4.57,clean
4,0,2,2,1112,267,139,18,4,2,1094,267,137,8,4,8.52,8.52,clean
7,2,0,4,97,9,10,99,9,10,-2,4,0,17,8,5.52,5.52,clean
2,1,0,2,5,4,2,59,56,30,-54,-2,-27,25,13,3.75,3.75,defective
14,2,4,4,903,90,38,807,94,34,96,55,4,17,5,6.45,6.45,clean
2,2,0,1,10,4,3,10,4,3,0,0,0,17,16,3.29,3.29,clean
6,3,1,2,296,9,18,739,71,46,-443,9,-28,25,12,5.6,5.6,clean
4,1,1,2,751,4,94,109,4,14,642,160,80,17,11,7.45,7.45,clean
9,1,1,4,72,5,6,60,8,5,12,14,1,14,6,4.67,4.67,clean
1,0,0,1,280,280,280,0,0,0,280,280,280,1,1,5.04,5.04,defective
1,1,0,1,158,79,79,10,5,5,148,74,74,2,2,10.18,10.18,defective
1,0,1,1,20,5,5,20,5,5,0,0,0,11,11,5.52,5.52,defective
4,0,0,1,40,2,8,210,3,42,-170,2,-34,9,4,7.68,7.68,clean
1,0,1,1,7,7,7,8,8,8,-1,-1,-1,3,3,6,6,clean
3,0,0,1,5,4,2,159,43,53,-154,-11,-51,12,8,6.82,6.82,clean
3,0,0,1,300,292,43,2381,87,340,-2081,189,-297,12,8,6.8,6.8,clean
1,0,0,1,3,3,3,3,3,3,0,0,0,9,9,7.62,7.62,clean
2,0,0,1,13,7,6,14,14,7,-1,6,0,1,1,4.86,4.86,clean
1,0,0,1,194,194,194,250,250,250,-56,-56,-56,2,2,3,3,defective
1,0,0,1,17,17,17,17,17,17,0,0,0,2,2,3,3,clean
4,0,2,1,34,4,7,32,9,6,2,14,0,9,4,7.84,7.84,clean
1,0,0,1,0,0,0,1,1,1,-1,-1,-1,1,1,8,8,clean
1,0,0,1,10,10,10,10,10,10,0,0,0,21,21,5.12,5.12,defective
1,0,0,1,46,46,46,28,28,28,18,18,18,48,48,2.14,2.14,clean
1,0,0,1,1006,503,503,1038,519,519,-32,-16,-16,3,3,5.5,5.5,clean
1,0,0,1,2443,349,349,637,91,91,1806,258,258,29,29,2.07,2.07,clean
1,0,0,1,950,190,190,540,108,108,410,82,82,29,29,2,2,clean
1,0,0,1,185,185,185,185,185,185,0,0,0,21,21,5.51,5.51,defective
1,0,0,1,7,7,7,7,7,7,0,0,0,2,2,4.36,4.36,clean
1,0,0,1,2,2,2,2,2,2,0,0,0,1,1,5.29,5.29,clean
3,0,0,1,23,11,6,15,8,4,8,8,2,3,3,3.79,3.79,clean
1,0,0,1,8,8,8,0,0,0,8,8,8,3,3,9.19,9.19,clean
2,0,0,1,12,12,6,17,4,8,-5,8,-2,3,3,3.91,3.91,clean
1,0,1,1,6,6,6,2,2,2,4,4,4,1,1,4.46,4.46,clean
1,0,0,1,140,140,140,214,214,214,-74,-74,-74,48,48,2.14,2.14,clean
1,0,0,1,1,1,1,1,1,1,0,0,0,2,2,7.38,7.38,clean
1,0,0,1,4,4,4,2,2,2,2,2,2,2,2,10.29,10.29,clean
1,0,0,1,5,5,5,5,5,5,0,0,0,48,48,2.14,2.14,clean
1,0,0,1,128,64,64,30,15,15,98,49,49,48,48,2.14,2.14,clean
1,0,0,1,192,48,48,104,26,26,88,22,22,48,48,2.14,2.14,clean
1,0,0,1,1,1,1,1,1,1,0,0,0,10,10,3.14,3.14,clean
1,1,0,1,35,35,35,2,2,2,33,33,33,1,1,4.48,4.48,clean
1,0,1,1,14,14,14,0,0,0,14,14,14,1,1,8,8,clean
1,0,0,1,2,2,2,2,2,2,0,0,0,1,1,5.14,5.14,clean
1,0,0,1,0,0,0,5,5,5,-5,-5,-5,4,4,4.9,4.9,clean
1,0,0,1,40,10,10,16,4,4,24,6,6,29,29,2,2,clean
1,0,0,1,23,23,23,23,23,23,0,0,0,21,21,7.02,7.02,clean
1,0,0,1,1082,1082,1082,0,0,0,1082,1082,1082,5,5,10.88,10.88,defective
1,0,0,1,11,11,11,0,0,0,11,11,11,6,6,6.43,6.43,clean
2,0,1,2,19,6,10,12,12,6,7,6,4,6,4,5.69,5.69,defective
1,0,1,1,33,33,33,27,27,27,6,6,6,1,1,6.84,6.84,clean
1,0,0,1,1,1,1,6,6,6,-5,-5,-5,1,1,9.86,9.86,clean
1,0,0,1,150,150,150,0,0,0,150,150,150,48,48,2.14,2.14,clean
1,0,0,1,47,47,47,4,4,4,43,43,43,48,48,2.14,2.14,clean
4,3,0,2,42,7,8,44,6,9,-2,2,0,17,14,6.54,6.54,clean
1,1,0,1,1,1,1,1,1,1,0,0,0,14,14,4.61,4.61,clean
2,0,0,2,8,4,4,0,0,0,8,4,4,11,6,7.02,7.02,clean
1,0,0,1,0,0,0,8,8,8,-8,-8,-8,4,4,7.46,7.46,clean
2,0,2,1,15,9,8,4,2,2,11,7,6,2,2,4.26,4.26,defective
1,0,1,1,37,37,37,0,0,0,37,37,37,1,1,7.49,7.49,defective
1,0,1,1,9,9,9,2,2,2,7,7,7,1,1,9.48,9.48,clean
4,0,1,2,159,5,40,38,5,10,121,133,30,11,4,7.99,7.99,clean
1,0,0,1,24,24,24,22,22,22,2,2,2,48,48,2.14,2.14,clean
1,0,0,1,5,5,5,0,0,0,5,5,5,9,9,6.86,6.86,clean
2,0,0,1,23,21,12,0,0,0,23,21,12,12,8,6.86,6.86,clean
3,0,1,2,62,44,21,48,8,16,14,10,5,21,10,6.93,6.93,clean
1,0,0,1,303,101,101,234,78,78,69,23,23,48,48,2.14,2.14,clean
1,0,0,1,2,2,2,2,2,2,0,0,0,5,5,5.55,5.55,clean
1,0,0,1,14,14,14,0,0,0,14,14,14,1,1,7.51,7.51,clean
1,0,0,1,0,0,0,1,1,1,-1,-1,-1,29,29,2,2,clean
1,0,0,1,40,10,10,16,4,4,24,6,6,29,29,2,2,clean
1,0,1,1,4,4,4,12,12,12,-8,-8,-8,5,5,6,6,clean
1,0,1,1,4,4,4,12,12,12,-8,-8,-8,5,5,6,6,clean
1,0,0,1,0,0,0,1,1,1,-1,-1,-1,7,7,6,6,clean
2,0,0,1,31,6,16,30,16,15,1,9,0,1,1,4.57,4.57,clean
1,0,0,1,0,0,0,2,2,2,-2,-2,-2,7,7,6,6,clean
1,0,0,1,2,2,2,2,2,2,0,0,0,29,29,2,2,clean
1,0,0,1,6,6,6,0,0,0,6,6,6,29,29,2,2,clean
1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,6.57,6.57,clean
1,0,0,1,9,9,9,6,6,6,3,3,3,21,21,5.93,5.93,clean
1,0,0,1,256,256,256,0,0,0,256,256,256,48,48,2.14,2.14,clean
1,0,1,1,7,7,7,0,0,0,7,7,7,1,1,5.14,5.14,clean
1,0,0,1,0,0,0,7,7,7,-7,-7,-7,8,8,7.43,7.43,clean
1,0,0,1,2,2,2,0,0,0,2,2,2,1,1,6.13,6.13,clean
1,0,0,1,5,5,5,5,5,5,0,0,0,21,21,4.9,4.9,clean
1,0,0,1,32,32,32,0,0,0,32,32,32,2,2,4.4,4.4,defective
1,0,0,1,168,168,168,0,0,0,168,168,168,9,9,8.63,8.63,defective
1,0,0,1,5,5,5,0,0,0,5,5,5,6,6,5.57,5.57,clean
1,0,0,1,18,18,18,0,0,0,18,18,18,1,1,11,11,clean
1,0,0,1,133,133,133,38,38,38,95,95,95,5,5,9.5,9.5,defective
2,0,1,2,458,2,114,32,2,8,426,142,106,5,3,7.79,7.79,clean
1,0,0,1,20,20,20,0,0,0,20,20,20,1,1,3.43,3.43,clean
1,0,1,1,7,7,7,2,2,2,5,5,5,1,1,5.49,5.49,clean
1,0,0,1,8,4,4,0,0,0,8,4,4,2,2,10.43,10.43,clean
1,0,0,1,4,4,4,4,4,4,0,0,0,21,21,3.71,3.71,defective
2,0,1,2,0,0,0,34,6,17,-34,-6,-17,13,7,5.23,5.23,clean
7,0,3,2,61,7,9,26,9,4,35,21,5,6,3,4.47,4.47,clean
1,0,0,1,0,0,0,8,8,8,-8,-8,-8,13,13,6.75,6.75,clean
1,0,0,1,0,0,0,7,7,7,-7,-7,-7,13,13,6.1,6.1,clean
1,0,0,1,0,0,0,7,7,7,-7,-7,-7,13,13,5.84,5.84,clean
