@relation 'dataset_feat-weka.filters.unsupervised.attribute.Remove-R2-3,5,7,9-11'

@attribute comm numeric
@attribute exp numeric
@attribute modd numeric
@attribute nloc numeric
@attribute label {defective,clean}

@data
1,1412,1,1082,clean
1,13482,1,137,clean
1,226,1,116,clean
1,13482,1,137,clean
1,226,1,116,clean
1,816000,2,1035,clean
2,373,3,875,defective
1,6,1,304,clean
1,627,1,421,clean
1,3776,1,57,clean
1,47523,1,240,clean
1,60,1,240,clean
1,120,1,31,clean
2,410,2,31,clean
1,120,1,31,clean
1,69,1,6,clean
1,1505,1,23,clean
1,39601,1,208,clean
1,4899,1,0,clean
1,32,1,6,clean
1,63,1,21,clean
1,55,1,15,clean
1,69,1,24,clean
1,1419,1,26,clean
1,2940,1,49,clean
1,702,1,6,clean
1,36,1,6,clean
1,38,1,0,clean
1,1,1,12,clean
1,13482,1,137,clean
1,6,1,356,clean
4,988,4,412,clean
2,6319,2,1168,defective
3,3432,3,686,clean
3,15488,3,561,clean
1,3776,1,57,clean
1,91,1,50,clean
1,1548,1,1147,clean
1,47523,1,240,clean
2,361,2,240,clean
1,1505,1,23,clean
1,41,1,13,clean
1,39601,1,208,clean
1,130,1,0,clean
1,216,2,156,clean
1,4899,1,0,clean
1,4,1,31,clean
1,1419,1,26,clean
1,67,1,16,clean
1,1419,1,26,clean
1,67,1,16,clean
1,2940,1,49,clean
1,47,1,19,clean
1,702,1,6,clean
1,30,1,3,clean
1,13482,1,137,clean
1,226,1,116,clean
2,1672,2,1887,clean
1,3720,1,1676,clean
1,21,1,1569,clean
2,8919,2,1001,clean
1,108,1,844,clean
3,33473,4,1267,defective
1,43836,1,1521,clean
1,816000,2,663,clean
1,1412,2,599,clean
2,315,2,582,defective
2,135905,2,1070,clean
1,558,1,594,clean
1,1120,1,1007,clean
2,2646,2,575,clean
1,141229,1,546,clean
4,2072,5,1300,clean
2,4,2,758,clean
2,77500,2,405,clean
2,121,2,1253,defective
1,5,1,2507,clean
1,1,1,336,clean
1,51562,1,1047,clean
1,500,1,876,clean
1,1924,1,409,clean
2,6110,2,1015,clean
5,15762,6,992,defective
2,84,2,44,clean
1,13,1,200,clean
3,325,3,209,clean
2,4,2,585,clean
4,91,5,261,defective
5,26,7,465,defective
1,6536,1,257,clean
1,24,1,270,defective
1,6300,3,280,clean
1,324,1,653,clean
1,240,1,637,clean
1,702,3,313,defective
2,13662,2,966,clean
1,2040,1,914,clean
2,406,3,1295,clean
3,5,3,50,clean
2,176,2,162,clean
3,2013,4,165,clean
2,87,4,32,defective
2,63,2,294,clean
2,825,2,523,defective
8,75,8,950,clean
2,825,2,523,defective
3,8500,3,391,defective
19,4,25,349,defective
2,6319,2,1168,defective
4,3432,4,514,clean
6,210,6,485,clean
1,484,1,486,clean
1,702,2,467,defective
1,610,1,987,defective
1,324,1,161,clean
2,11324,2,609,clean
1,1422,1,175,clean
1,32,1,5,clean
1,69,1,6,clean
1,54,1,13,clean
1,47,1,1,clean
1,616,1,17,clean
1,1,1,1,clean
1,61,1,21,clean
1,58,1,15,clean
1,55,1,14,clean
1,42,1,6,clean
1,72,1,0,clean
1,48,1,15,clean
1,1,1,5,clean
2,67,3,28,clean
1,1,1,45,clean
1,480,1,42,clean
1,224,1,23,clean
1,1,1,7,clean
1,14,1,6,clean
1,37,1,0,clean
1,1,1,8,clean
1,9,1,6,clean
1,88,1,33,clean
1,16,1,19,clean
1,82,1,31,clean
1,16,1,19,clean
2,45,2,7,clean
2,35,4,2,clean
2,44,3,8,clean
1,93,1,28,clean
1,34,1,7,clean
1,65,1,19,clean
1,75,1,25,clean
1,1,1,324,clean
1,70,1,22,defective
1,1,1,20,clean
3,294,3,74,clean
2,42,2,5,clean
1,95,1,30,clean
1,66,1,0,clean
1,1,1,0,clean
1,28,1,0,clean
1,1,1,1,clean
1,1422,2,197,clean
1,1,1,393,clean
1,76,1,24,clean
1,1,1,43,clean
1,81,1,44,clean
1,51,1,14,clean
1,63,1,17,clean
1,73,1,0,clean
1,94,1,0,clean
1,37,1,0,clean
1,1,1,9,clean
1,41,1,11,defective
1,34,1,8,clean
1,40,1,7,defective
1,53,1,0,clean
1,81,1,0,clean
1,84,1,31,clean
1,43,1,13,clean
1,78,1,26,clean
1,108,1,53,defective
1,1,1,107,clean
1,323,1,2,clean
3,32,3,4,clean
1,35,1,9,clean
1,75,1,0,clean
1,95,1,29,clean
1,35,1,5,clean
1,91,1,27,clean
1,59,1,0,clean
1,70,1,22,defective
1,73,1,0,clean
1,1,1,102,clean
1,68,1,2,clean
1,4,1,0,clean
2,100,2,10,clean
1,1,1,10,clean
1,391,1,140,clean
1,37,1,1,clean
1,37,1,0,clean
1,1,1,1,clean
1,37,1,1,clean
1,37,1,0,clean
1,1,1,1,clean
1,10,1,2,clean
1,1,1,4,clean
1,2236,1,32,clean
1,32,1,0,clean
1,1,1,8,clean
1,196,1,1,clean
1,196,1,1,clean
3,510,4,84,clean
1,8550,1,710,clean
1,34,2,914,clean
4,6438,4,377,clean
1,16,1,351,clean
1,500,1,876,clean
1,1924,1,409,clean
1,112,1,392,clean
1,12,1,385,clean
2,58,2,2091,clean
1,828,1,72,clean
2,25,2,270,defective
2,4,3,601,clean
17,27,168,52,defective
3,12,3,92,clean
1,324,1,161,clean
1,2236,1,32,clean
1,61,1,33,clean
3,895,3,0,clean
1,3720,1,1676,clean
1,969,1,1565,clean
1,170,1,624,clean
1,141229,1,546,clean
1,12545,1,330,defective
1,93,1,229,clean
1,6950,1,289,defective
1,77720,1,626,clean
1,1,1,610,clean
3,2706,3,658,clean
1,240,1,637,clean
1,1,1,1332,clean
2,11,2,474,clean
2,178,4,250,defective
3,400,3,807,defective
1,966,1,486,clean
1,7744,1,1833,clean
1,4,1,1662,clean
1,3720,1,1676,clean
1,969,1,1565,clean
2,14,2,1124,clean
1,19740,1,2995,clean
2,683764,2,2480,clean
2,26000,2,629,clean
1,2072,1,0,clean
1,2756,1,1965,clean
1,729,1,1950,clean
1,131705,1,1963,clean
1,729,1,1950,clean
1,70064,1,1948,clean
1,3696,1,1868,clean
1,7189,1,1873,clean
1,32,1,215,clean
1,156,1,202,clean
2,252,2,75,clean
2,7,2,62,clean
1,105,1,0,clean
1,81,1,0,clean
1,55,1,0,clean
1,45,1,0,clean
1,111,1,0,clean
1,69,1,0,clean
1,205,1,0,clean
1,41,1,0,clean
1,1,1,35,clean
1,49,1,0,clean
1,39,1,0,clean
1,49,1,0,clean
1,26,1,0,clean
1,68,1,0,clean
1,122,1,0,clean
1,47,1,0,clean
1,1,1,52,clean
1,49,1,0,clean
1,37,1,0,clean
1,99,1,0,clean
1,49,1,0,clean
1,37,1,0,clean
1,27,1,5,clean
1,1,1,5,clean
1,78,1,0,clean
1,123,1,0,clean
1,79,1,0,clean
1,105,1,0,clean
1,69,1,0,clean
1,134,1,0,clean
8,122,12,56,clean
2,1,2,267,clean
6,12,6,282,defective
2,4,2,245,clean
1,1,1,519,clean
1,1176,1,1470,clean
1,9,1,6,clean
2,1,2,568,clean
1,1,13,622,clean
1,275,1,875,clean
1,36850,1,2666,clean
1,1,1,18,clean
1,1,1,18,clean
1,1,1,34,clean
1,1,1,21,clean
1,1,1,17,clean
1,1,1,14,clean
1,1,1,13,clean
1,1,1,18,clean
1,1,1,39,clean
1,1,1,19,clean
1,1,1,3,clean
1,1,1,9,clean
1,1,1,7,clean
1,182,1,7,clean
1,1,1,16,clean
1,1,1,10,clean
1,1,1,17,clean
1,1,1,1,clean
1,1,1,19,clean
1,1,1,14,clean
1,1,1,15,clean
1,1,1,1,clean
2,10,2,1,clean
1,1,1,16,clean
2,14,2,14,clean
1,1,1,8,clean
1,1,1,19,clean
2,14,2,14,clean
1,1,1,23,clean
1,1,1,1,clean
1,4,1,0,clean
1,1,1,1,clean
2,6,2,1,defective
1,1,1,36,clean
1,1,1,27,clean
1,1,1,20,clean
1,1,1,9,clean
1,1,1,29,clean
1,54,1,24,clean
1,1,1,5,clean
1,1,1,30,clean
1,1,1,51,clean
1,1,1,3,clean
1,1,1,93,clean
1,18,1,80,clean
1,1,1,27,clean
1,1,1,29,clean
1,1,1,2,clean
1,1,1,5,clean
1,1,1,3,clean
1,1,1,6,clean
1,1,1,3,clean
1,1,1,3,clean
1,1,1,7,clean
1,1,1,34,clean
1,1,1,3,clean
1,1,1,35,clean
1,1,1,8,clean
1,1,1,25,clean
1,36,1,8,clean
1,1,1,8,clean
1,110,1,6,clean
1,1,1,3,clean
1,1,1,8,clean
1,1,1,62,clean
1,1,1,14,clean
1,1,1,3,clean
1,1,1,103,clean
1,1,1,22,clean
1,1,1,16,clean
1,29,1,5,clean
1,1,1,456,clean
1,1,1,138,clean
1,1,1,3,clean
1,1,1,2,clean
1,1,1,3,clean
1,1,1,10,clean
1,1,1,17,clean
1,1,1,4,clean
1,1,1,2,clean
1,1,1,3,clean
1,1,1,18,clean
1,1,1,4,clean
1,1,1,6,clean
1,1,1,6,clean
1,1,1,272,clean
1,1,1,17,clean
1,1,1,11,clean
1,1,1,127,clean
1,1,1,21,clean
1,1,1,3,clean
1,1,1,4,clean
1,1,1,3,clean
1,1,1,20,clean
1,1,1,2,clean
1,1,1,3,clean
1,1,1,20,clean
1,1,1,3,clean
1,1,1,20,clean
1,1,1,3,clean
1,1,1,3,clean
1,1,1,3,clean
1,1,1,36,clean
1,1,1,3,clean
1,1,1,13,clean
1,1,1,9,clean
2,5,2,1,clean
1,1,1,2,clean
1,26,1,0,clean
1,1,1,3,clean
1,1,1,27,clean
1,1,1,5,clean
1,1,1,2,clean
1,1,1,1,clean
1,1,1,54,clean
1,1,1,1,clean
1,1,1,6,clean
1,1,1,17,clean
1,46,1,16,clean
1,1,1,13,clean
1,1,1,10,clean
1,1,1,6,clean
1,1,1,0,clean
1,1,1,16,clean
1,1,1,3,clean
1,1,1,12,clean
1,1,1,2,clean
1,1,1,3,clean
1,1,1,4,clean
1,1,1,59,clean
1,1,1,14,clean
1,1,1,32,clean
1,1,1,158,clean
1,24,1,6,clean
1,1,1,22,clean
1,1,1,13,clean
2,80,2,13,clean
1,1,1,31,clean
1,1,1,20,clean
1,1,1,14,clean
1,1,1,14,clean
1,1,1,19,clean
1,1,1,29,clean
1,1,1,11,clean
1,1,1,74,clean
1,1,1,78,clean
1,1,1,34,clean
1,1,1,19,clean
1,1,1,3,clean
1,56,1,15,clean
1,52,1,13,clean
1,1,1,2,clean
1,1,1,23,clean
1,1,1,486,clean
1,1,1,15,clean
1,1,1,32,clean
1,1,1,38,clean
1,1,1,3,clean
1,60,1,3,clean
1,1,1,11,clean
1,1,1,40,clean
1,1,1,15,clean
1,1,1,19,clean
1,1,1,8,clean
1,1,1,38,clean
1,1,1,15,clean
1,1,1,83,clean
1,1,1,22,clean
1,1,1,44,clean
1,1,1,4,clean
1,1,1,3,clean
1,1,1,100,clean
3,30,3,11,clean
1,1,1,12,clean
1,1,1,30,clean
1,1,1,4,clean
1,1,1,15,clean
1,38,1,12,clean
1,1,1,18,clean
1,1,1,23,clean
1,1,1,26,clean
1,1,1,43,clean
1,1,1,16,clean
1,1,1,24,clean
1,1,1,14,clean
1,1,1,63,clean
1,1,1,15,clean
1,1,1,32,clean
1,1,1,10,clean
1,1,1,12,clean
1,1,1,8,clean
1,1,1,27,clean
1,1,1,18,clean
1,1,1,14,clean
1,56,1,14,clean
1,1,1,29,clean
1,1,1,16,clean
1,1,1,14,clean
1,1,1,22,clean
1,1,1,19,clean
1,1,1,22,clean
1,1,1,39,clean
1,1,1,79,clean
1,1,1,52,clean
1,1,1,15,clean
1,1,1,22,clean
1,1,1,17,clean
1,1,1,20,clean
1,1,1,20,clean
1,1,1,18,clean
1,1,1,25,clean
1,1,1,20,clean
1,1,1,16,clean
1,1,1,20,clean
1,1,1,26,clean
1,1,1,23,clean
1,1,1,20,clean
1,1,1,49,clean
1,66,1,38,clean
1,1,1,15,clean
1,1,1,30,clean
1,1,1,19,clean
1,1,1,17,clean
1,1,1,12,clean
1,1,1,24,clean
1,1,1,32,clean
1,1,1,150,clean
1,1,1,13,clean
1,1,1,127,clean
1,1,1,13,clean
1,1,1,15,clean
1,1,1,19,clean
1,58,1,13,clean
1,1,1,22,clean
1,1,1,13,clean
1,1,1,1,clean
1,25,1,1,clean
1,1,1,12,clean
1,1,1,14,clean
1,1,1,17,clean
1,1,1,21,clean
1,1,1,31,clean
1,1,1,31,clean
1,1,1,18,clean
1,1,1,57,clean
1,1,1,13,clean
1,1,1,17,clean
1,1,1,15,clean
1,1,1,23,clean
1,1,1,25,clean
1,59,1,16,clean
1,1,1,20,clean
1,1,1,27,clean
1,67,1,22,clean
1,1,1,3,clean
1,1,1,13,clean
1,1,1,39,clean
1,1,1,26,clean
1,1,1,14,clean
1,1,1,13,clean
1,1,1,23,clean
1,1,1,9,clean
1,1,1,15,clean
1,1,1,8,clean
1,1,1,11,clean
1,1,1,6,clean
1,1,1,15,clean
1,1,1,16,clean
1,1,1,25,clean
1,1,1,15,clean
1,1,1,10,clean
1,1,1,76,clean
1,1,1,23,clean
1,1,1,40,clean
1,1,1,50,clean
1,1,1,43,clean
1,1,1,83,clean
1,1,1,13,clean
1,1,1,108,clean
1,1,1,2,clean
1,1,1,204,clean
1,1,1,8,clean
1,1,1,20,clean
1,1,1,32,clean
1,1,1,13,clean
1,1,1,23,clean
1,1,1,13,clean
1,1,1,13,clean
1,1,1,13,clean
1,1,1,13,clean
1,1,1,10,clean
1,1,1,15,clean
1,1,1,13,clean
1,1,1,15,clean
1,1,1,27,clean
1,1,1,14,clean
1,1,1,74,clean
1,1,1,25,clean
1,1,1,12,clean
1,1,1,12,clean
1,1,1,23,clean
1,1,1,52,clean
1,1,1,3,clean
1,1,1,10,clean
1,1,1,3,clean
1,1,1,65,clean
1,1,1,33,clean
1,1,1,21,clean
1,1,1,23,clean
1,1,1,16,clean
1,1,1,27,clean
1,1,1,27,clean
1,1,1,10,clean
1,1,1,68,clean
1,1,1,29,clean
1,1,1,65,clean
1,6,1,56,clean
1,1,1,32,clean
1,1,1,16,clean
1,325,1,16,clean
1,1,1,11,clean
1,1,1,17,clean
1,1,1,11,clean
1,1,1,72,clean
1,1,1,19,clean
1,1,1,19,clean
1,1,1,18,clean
1,1,1,14,clean
1,78,1,31,clean
1,1,1,59,clean
1,1,1,122,clean
1,1,1,35,clean
1,1,1,10,clean
1,1,1,2,clean
1,1,1,28,clean
1,1,1,9,clean
1,1,1,46,clean
1,1,1,4,clean
1,1,1,19,clean
1,1,1,2,clean
1,1,1,15,clean
1,1,1,1,clean
1,1,1,18,clean
1,1,1,8,clean
1,1,1,1,clean
1,1,1,5,clean
1,1,1,9,clean
1,1,1,195,clean
2,2,2,165,clean
1,1,1,2,clean
1,1,1,2,clean
1,1,1,18,clean
1,1,1,4,clean
1,32,1,7,clean
1,1,1,2,clean
1,1,1,1,clean
1,25,1,1,clean
1,1,1,14,clean
1,51,1,25,clean
1,1,1,1,clean
1,1,1,1,clean
1,1,1,56,clean
1,1,1,28,clean
1,1,1,10,clean
1,1,1,8,clean
1,1,1,1,clean
1,1,1,25,clean
1,1,1,147,clean
1,1,1,14,clean
1,1,1,115,clean
1,1,1,5,clean
1,1,1,33,clean
1,1,1,22,clean
1,1,1,44,clean
1,1,1,35,clean
1,1,1,41,clean
1,1,1,31,clean
1,1,1,42,clean
1,1,1,16,clean
1,1,1,20,clean
1,1,1,13,clean
1,1,1,14,clean
1,1,1,15,clean
1,1,1,135,clean
1,1,1,30,clean
1,1,1,23,clean
1,1,1,5,clean
1,1,1,2,clean
1,1,1,25,clean
1,1,1,37,clean
1,33,1,6,clean
1,1,1,13,clean
1,1,1,6,clean
1,1,1,179,clean
1,1,1,6,clean
1,1,1,2,clean
1,1,1,16,clean
1,1,1,6,clean
1,1,1,9,clean
1,1,1,18,clean
1,52,1,13,clean
1,1,1,5,clean
1,1,1,22,clean
1,1,1,65,clean
1,1,1,11,clean
1,1,1,21,clean
1,1,1,16,clean
1,1,1,17,clean
1,1,1,33,clean
1,1,1,4,clean
1,1,1,11,clean
1,1,1,26,clean
1,1,1,3,clean
1,1,1,14,clean
1,1,1,50,clean
1,1,1,23,clean
1,1,1,14,clean
1,1,1,23,clean
1,1,1,26,clean
1,1,1,13,clean
1,1,1,12,clean
1,1,1,14,clean
1,1,1,25,clean
1,1,1,20,clean
1,1,1,5,clean
1,1,1,16,clean
1,59,1,17,clean
2,7,2,15,clean
1,1,1,9,clean
1,1,1,31,clean
2,7,2,18,clean
1,1,1,19,clean
1,1,1,26,clean
1,1,1,16,clean
1,1,1,48,clean
1,1,1,0,clean
1,1,1,21,clean
1,1,1,14,clean
1,1,1,32,clean
1,1,1,25,clean
1,56,1,14,clean
1,1,1,9,clean
1,1,1,22,clean
1,1,1,14,clean
1,54,1,13,clean
1,1,1,82,clean
1,1,1,7,clean
1,1,1,9,clean
1,1,1,23,clean
1,1,1,11,clean
1,1,1,15,clean
1,1,1,13,clean
1,1,1,15,clean
1,1,1,17,clean
1,1,1,4,clean
1,1,1,13,clean
1,1,1,30,clean
1,44,1,28,defective
1,1,1,22,clean
1,1,1,14,clean
1,1,1,112,clean
1,81,1,6,clean
1,1,1,15,clean
1,1,1,6,clean
1,1,1,2,clean
1,1,1,77,clean
1,1,1,9,clean
1,1,1,27,clean
1,51,1,27,clean
1,1,1,6,clean
1,30,1,6,clean
1,1,1,21,clean
1,1,1,26,clean
1,1,1,9,clean
1,1,1,16,clean
1,1,1,4,clean
1,1,1,11,clean
1,1,1,17,clean
1,1,1,57,clean
1,1,1,200,clean
1,1,1,8,clean
1,1,1,6,clean
1,1,1,14,clean
1,1,1,6,clean
1,1,1,18,clean
1,1,1,34,clean
1,1,1,30,clean
1,1,1,17,clean
1,1,1,53,clean
1,1,1,160,clean
1,1,1,29,clean
1,1,1,23,clean
1,1,1,15,clean
1,1,2,158,clean
1,1,1,22,clean
1,1,1,14,clean
1,54,1,14,clean
1,1,1,15,clean
1,60,1,17,clean
1,1,1,13,clean
1,1,1,14,clean
1,1,1,19,clean
1,1,2,11,clean
1,1,1,0,clean
1,1,1,14,clean
1,1,1,16,clean
1,1,1,17,clean
1,1,1,8,clean
1,1,1,4,clean
1,1,1,21,clean
1,1,1,21,clean
1,1,1,56,clean
1,1,1,13,clean
1,1,1,44,clean
1,1,1,17,clean
1,1,1,17,clean
1,1,1,26,clean
1,1,1,27,clean
1,1,1,6,clean
1,1,1,69,clean
2,40,2,17,clean
1,1,1,23,clean
1,1,1,14,clean
1,1,1,525,clean
1,1,1,13,clean
1,1,1,8,clean
1,1,1,5,clean
1,1,1,8,clean
1,1,1,1,clean
1,1,1,18,clean
1,1,1,2,clean
1,26,1,0,clean
1,1,1,4,clean
1,1,1,4,clean
1,1,1,22,clean
1,1,1,326,clean
1,1,1,36,clean
1,1,1,17,clean
1,1,1,4,clean
1,25,1,22,clean
1,28,1,4,clean
1,1,1,17,clean
1,1,1,17,clean
1,1,1,24,clean
1,1,1,20,clean
1,1,1,82,clean
1,1,1,13,clean
1,1,1,27,clean
1,1,1,10,clean
1,1,1,27,clean
1,1,1,4,clean
1,1,1,22,clean
1,1,1,11,clean
1,1,1,38,clean
1,1,1,11,clean
1,1,1,30,clean
1,1,1,182,clean
1,1,1,20,clean
1,1,1,48,clean
1,1,1,39,clean
1,1,1,13,clean
1,1,1,7,clean
1,1,1,6,clean
1,1,1,24,clean
1,1,1,1,clean
1,1,1,10,clean
1,1,1,43,clean
1,5,1,45,clean
1,1,1,12,clean
1,1,1,4,clean
1,1,1,23,clean
1,1,1,24,clean
1,1,1,25,clean
1,9,1,24,clean
1,1,1,42,clean
1,1,1,73,clean
1,1,1,13,clean
1,1,1,18,clean
1,1,1,11,clean
1,1,1,10,clean
1,1,1,22,clean
1,1,1,3,clean
1,1,1,9,clean
1,1,1,172,clean
1,1,1,14,clean
1,1,1,13,clean
1,1,1,23,clean
1,1,1,22,clean
1,1,1,30,clean
1,1,1,26,clean
1,44,1,19,clean
1,1,1,18,clean
1,1,1,12,clean
1,1,1,13,clean
1,1,1,15,clean
1,1,1,40,clean
1,1,1,29,clean
1,1,1,26,clean
1,1,1,48,clean
1,1,1,11,clean
1,1,1,17,clean
1,1,1,21,clean
1,1,1,17,clean
1,1,1,8,clean
1,1,1,33,clean
1,1,1,15,clean
1,1,1,25,clean
1,1,1,14,clean
1,1,1,30,clean
1,1,1,28,clean
1,1,1,20,clean
1,1,1,69,clean
1,82,1,45,clean
1,1,1,70,clean
1,1,1,24,clean
1,1,1,77,clean
1,1,1,6,clean
1,1,1,5,clean
1,1,1,47,clean
1,1,1,11,clean
1,1,1,19,clean
1,1,1,12,clean
1,1,1,22,clean
1,1,1,4,clean
1,1,1,9,clean
1,1,1,23,clean
1,54,1,13,clean
1,1,1,40,clean
1,83,1,26,defective
1,1,1,29,clean
1,1,1,37,clean
1,1,1,31,clean
1,1,1,23,clean
1,1,1,18,clean
1,59,1,17,clean
1,1,1,12,clean
1,1,1,12,clean
1,1,1,12,clean
1,1,1,16,clean
1,1,1,12,clean
1,1,1,12,clean
1,1,1,12,clean
1,1,1,19,clean
1,1,1,16,clean
1,1,1,12,clean
1,1,1,15,clean
1,1,1,13,clean
1,1,1,24,clean
1,1,1,12,clean
1,1,1,12,clean
1,1,1,13,clean
1,1,1,12,clean
1,1,1,12,clean
1,1,1,12,clean
1,1,1,12,clean
1,1,1,15,clean
1,1,1,12,clean
1,1,1,12,clean
1,1,1,12,clean
1,1,1,12,clean
1,1,1,14,clean
1,1,1,12,clean
1,1,1,14,clean
1,1,1,12,clean
1,1,1,12,clean
1,1,1,12,clean
1,1,1,12,clean
1,1,1,16,clean
1,1,1,132,clean
1,1,1,63,clean
1,1,1,30,clean
1,1,1,15,clean
1,1,1,12,clean
1,1,1,13,clean
1,1,1,12,clean
1,1,1,12,clean
1,1,1,36,clean
1,1,1,12,clean
1,1,1,28,clean
1,1,1,13,clean
1,1,1,20,clean
1,1,1,12,clean
1,1,1,14,clean
1,56,1,14,clean
1,1,1,12,clean
1,1,1,13,clean
1,1,1,13,clean
1,1,1,15,clean
1,1,1,12,clean
1,1,1,12,clean
1,1,1,12,clean
1,1,1,14,clean
1,1,1,15,clean
1,1,1,26,clean
1,1,1,1,clean
1,1,1,33,clean
1,1,1,50,clean
1,12,1,44,clean
1,1,1,43,clean
1,1,1,12,clean
1,1,1,135,clean
1,1,1,24,clean
1,1,1,14,clean
1,1,1,2,clean
1,1,1,25,clean
1,1,1,1,clean
1,1,1,104,clean
1,1,1,44,clean
1,1,1,18,clean
1,1,1,14,clean
1,1,1,35,clean
1,1,1,25,clean
1,1,1,36,clean
1,1,1,18,clean
1,62,1,18,clean
1,1,1,3,clean
1,1,1,13,clean
1,1,1,27,clean
1,1,1,6,clean
1,30,1,2,clean
1,1,1,31,clean
1,1,1,1,clean
1,1,1,23,clean
1,1,1,29,clean
1,1,1,14,clean
1,1,1,13,clean
1,1,1,17,clean
1,1,1,17,clean
3,30,3,10,clean
1,1,1,8,clean
1,1,1,13,clean
1,1,1,9,clean
1,1,1,36,clean
1,1,1,30,clean
1,1,1,10,clean
1,1,1,21,clean
1,1,1,25,clean
1,1,1,87,clean
1,1,1,13,clean
1,1,1,11,clean
1,1,1,14,clean
1,1,1,30,clean
1,1,1,12,clean
1,1,1,25,clean
1,1,1,14,clean
1,1,1,15,clean
1,33,1,9,clean
1,1,1,18,clean
1,60,1,18,clean
1,1,1,14,clean
2,11,2,24,clean
1,38,1,13,clean
1,1,1,70,clean
1,1,1,17,clean
1,59,1,16,clean
1,1,1,22,clean
1,1,1,2,clean
1,1,1,13,clean
1,1,1,37,clean
1,1,1,7,clean
1,1,1,65,clean
1,1,1,18,clean
1,1,1,8,clean
1,1,1,38,clean
1,1,1,55,clean
1,1,1,11,clean
1,1,1,11,clean
1,1,1,12,clean
1,1,1,8,clean
1,1,1,3,clean
1,1,1,2,clean
1,1,1,29,clean
1,1,1,29,clean
1,1,1,79,clean
1,2,1,78,clean
1,1,1,19,clean
1,1,1,4,clean
1,1,1,16,clean
1,1,1,16,clean
1,1,1,14,clean
1,61,1,14,clean
1,1,1,14,clean
1,55,1,14,clean
1,1,1,29,clean
1,64,1,22,clean
1,1,1,0,clean
1,43,1,0,clean
1,1,1,21,clean
1,1,1,18,clean
1,1,1,12,clean
1,1,1,50,clean
1,1,1,46,clean
1,1,1,36,clean
1,1,1,9,clean
1,1,1,9,clean
1,1,1,9,clean
1,1,1,9,clean
1,1,1,9,clean
1,1,1,9,clean
1,1,1,8,clean
1,1,1,8,clean
1,1,1,30,clean
1,36,1,15,clean
1,1,1,9,clean
1,1,1,9,clean
1,1,1,9,clean
1,1,1,9,clean
1,1,1,9,clean
1,1,1,4,clean
1,1,1,175,clean
1,1,1,16,clean
1,1,1,4,clean
1,1,1,31,clean
1,1,1,3,clean
1,1,1,11,clean
1,1,1,105,clean
1,1,1,11,clean
1,1,1,15,clean
1,1,1,20,clean
1,1,1,4,clean
1,1,1,17,clean
1,1,1,22,clean
1,1,1,18,clean
1,1,1,22,clean
1,1,1,15,clean
1,1,1,25,clean
1,69,1,25,clean
1,1,1,18,clean
1,1,1,15,clean
1,1,1,54,clean
1,1,1,15,clean
1,56,1,14,clean
1,1,1,23,clean
1,83,1,21,clean
1,1,1,25,clean
1,74,1,25,clean
1,1,1,53,clean
1,1,1,19,clean
1,1,1,33,clean
1,1,1,14,clean
1,1,1,18,clean
1,1,1,18,clean
1,1,1,18,clean
1,1,1,20,clean
1,1,1,20,clean
1,1,1,46,clean
1,1,1,15,clean
1,1,1,12,clean
1,1,1,30,clean
1,1,1,13,clean
1,1,1,14,clean
1,57,1,14,clean
1,1,1,16,clean
1,1,1,7,clean
1,1,1,12,clean
1,1,1,20,clean
1,1,1,15,clean
1,1,1,14,clean
1,1,1,14,clean
1,1,1,60,clean
1,1,1,13,clean
1,1,1,21,clean
1,1,1,6,clean
1,1,1,27,clean
1,1,1,104,clean
1,1,1,21,clean
1,1,1,15,clean
1,1,1,254,clean
1,1,1,33,clean
1,1,1,20,clean
1,1,1,14,clean
1,1,1,47,clean
1,1,1,18,clean
1,1,1,31,clean
1,1,1,33,clean
1,1,1,34,clean
1,1,1,21,clean
1,1,1,28,clean
1,1,1,1,clean
1,1,1,23,clean
1,1,1,21,clean
1,1,1,27,clean
1,1,1,22,clean
1,1,1,3,clean
1,1,1,13,clean
1,1,1,5,clean
1,1,1,129,clean
1,1,1,18,clean
1,1,1,16,clean
1,1,1,36,clean
1,1,1,38,clean
1,1,1,27,clean
1,1,1,26,clean
1,1,1,5,clean
1,1,1,39,clean
1,1,1,4,clean
1,1,1,35,clean
1,1,1,6,clean
1,1,1,18,clean
1,1,1,37,clean
1,1,1,8,clean
1,1,1,23,clean
1,1,1,61,clean
1,1,1,16,clean
1,1,1,2,clean
1,1,1,6,clean
1,1,1,18,clean
1,1,1,9,clean
1,1,1,23,clean
1,1,1,24,clean
1,1,1,30,clean
1,1,1,4,clean
1,1,1,4,clean
1,1,1,18,clean
1,1,1,14,clean
1,59,1,14,clean
1,1,1,14,clean
1,1,1,33,clean
1,87,1,39,clean
1,1,1,16,clean
1,1,1,15,clean
1,1,1,27,clean
1,1,1,164,clean
1,1,1,16,clean
1,1,1,17,clean
1,1,1,55,clean
1,69,1,24,clean
1,1,1,211,clean
1,1,1,19,clean
1,1,1,44,clean
1,1,1,41,clean
1,1,1,16,clean
1,1,1,1,clean
1,1,1,23,clean
1,1,1,2,clean
1,1,1,16,clean
1,1,1,23,clean
1,1,1,18,clean
1,1,1,15,clean
1,1,1,17,clean
1,1,1,24,clean
1,1,1,4,clean
1,1,1,3,clean
1,1,1,1,clean
1,1,1,66,clean
1,1,1,22,clean
