@relation 'dataset_feat-weka.filters.unsupervised.attribute.Remove-R2-3,5,8,11'

@attribute comm numeric
@attribute exp numeric
@attribute modd numeric
@attribute mods numeric
@attribute cyco numeric
@attribute addl numeric
@attribute label {defective,clean}

@data
2,23,2,1742,190,15,clean
1,4,1,319,21,2,clean
1,107,1,1742,0,107,clean
2,37,2,319,252,68,clean
1,1851,1,1742,0,0,clean
1,78,1,1742,6,78,defective
2,578,6,1742,51,254,defective
1,10318,3,1742,34,182,defective
2,578,6,1742,51,254,defective
1,78,1,1742,6,78,defective
2,578,6,1742,19,156,defective
1,42,2,299,44,12,clean
2,31320,3,1742,32,75,defective
1,38,1,1742,0,38,clean
1,192,1,1742,54,6,clean
1,2759,2,299,8,1570,defective
1,2759,2,299,8,1570,defective
1,337,1,299,0,0,clean
1,2759,2,299,0,1379,defective
1,2759,2,299,0,1379,defective
1,20,2,299,3,10,clean
1,38,1,259,0,19,clean
1,4,1,1742,2,0,clean
12,288,14,319,168,220,defective
1,735124,1,319,104,871,clean
3,368,3,319,150,88,clean
9,288,11,319,151,224,defective
1,735124,1,319,104,871,clean
1,1681,1,259,138,41,clean
8,288,10,319,157,250,clean
1,735124,1,319,104,871,clean
6,288,8,319,164,311,clean
1,735124,1,319,104,871,clean
7,288,9,319,166,283,defective
1,735124,1,319,104,871,clean
9,62,11,319,208,123,clean
1,14,1,358,0,14,clean
1,1187,1,258,193,1187,defective
1,1187,1,258,193,1187,defective
1,238,1,358,0,17,clean
1,2295,1,358,10,51,clean
1,2295,1,358,10,51,clean
1,4664,1,319,382,44,defective
1,16,1,299,95,4,clean
2,4,3,358,327,18,clean
1,54,1,299,223,9,clean
8,21,8,358,367,14,defective
20,147,34,299,128,33,defective
5,28,5,1742,70,12,clean
2,34,2,319,185,2,clean
4,556,5,258,163,178,clean
5,1,7,259,242,14,defective
1,2916,1,1742,82,54,clean
3,2732,3,258,379,154,defective
1,1,1,299,68,1,clean
1,1,1,358,178,1,clean
1,40,2,319,424,42,clean
1,47670,1,358,567,210,defective
2,3,2,319,591,2,clean
1,33,1,358,178,11,clean
2,276,2,299,189,48,clean
1,774,1,299,189,86,clean
1,537,1,299,220,537,clean
3,1501,3,1742,115,503,defective
2,8,2,259,93,45,defective
1,169,1,1742,516,13,clean
1,451,1,319,1114,11,clean
2,38,2,319,122,54,clean
1,43,1,258,147,43,clean
3,1,3,358,63,5,clean
2,17280,2,299,96,273,clean
2,1501,2,1742,180,758,clean
1,172860,1,319,404,1005,defective
2,768,2,258,142,384,clean
1,5,1,259,133,5,clean
1,1187,1,258,193,1187,defective
2,43,2,258,76,25,clean
1,144,1,358,555,18,defective
1,154,1,299,568,22,defective
1,2079,1,258,421,99,defective
1,386,1,258,45,386,clean
1,31759,1,358,321,349,clean
2,21,15,259,0,2,clean
1,68,1,259,0,17,clean
1,11562,1,299,48,82,clean
1,261057,1,358,102,503,clean
1,177,2,1742,6,88,defective
2,277,4,259,94,661,defective
2,36,2,358,222,6,clean
1,1,1,299,942,1,defective
1,1,1,319,842,1,defective
1,736,1,259,1112,32,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,22401,1,1742,6611,22401,clean
1,1248,1,358,190,48,clean
1,231,1,358,60,21,clean
1,3053,1,358,96,71,defective
1,227,1,358,34,227,defective
1,7878,1,358,149,101,clean
1,7878,1,358,149,101,clean
1,648,1,358,91,36,clean
1,38,1,358,0,19,clean
1,7705,2,358,6,65,clean
1,1470,1,358,55,35,defective
1,5720,1,358,111,104,clean
1,2,1,358,0,2,clean
1,551,1,358,8,29,clean
1,551,1,358,8,29,clean
1,551,1,358,8,29,clean
1,1288,4,358,50,68,defective
3,202,3,258,292,82,defective
1,49,1,358,284,7,defective
1,24,1,319,289,12,clean
1,55,1,358,286,11,clean
1,41132,1,258,296,226,clean
1,4,1,259,296,2,clean
1,41132,1,258,296,226,clean
1,206,2,319,11,137,clean
