@relation 'dataset_feat-weka.filters.unsupervised.attribute.Remove-R4,9'

@attribute comm numeric
@attribute adev numeric
@attribute ddev numeric
@attribute oexp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {defective,clean}

@data
3,3,5,37,3,299,257,19,14,defective
2,2,7,284,4,258,234,136,61,defective
2,2,8,1047,3,259,341,177,171,defective
1,1,1,10,1,299,343,3,7,clean
1,1,1,21,1,1742,93,11,10,clean
2,2,1,181,7,319,201,22,3,defective
1,1,2,454,1,258,273,454,0,defective
1,1,1,440,1,358,1410,349,91,clean
3,3,3,267,4,358,243,70,2,defective
8,8,7,17,10,299,385,162,112,defective
2,2,8,227,3,1742,61,7,68,clean
6,6,10,16,7,319,206,16,8,defective
6,6,12,264,13,258,814,249,39,defective
1,1,13,1039,2,259,352,264,255,defective
1,1,1,2,1,259,123,1,1,clean
1,1,1,1947,1,299,500,1947,0,clean
1,1,1,284,2,358,118,130,12,defective
2,2,2,34,2,1742,120,6,11,defective
1,1,1,18,1,258,190,9,9,defective
2,2,2,3,7,258,173,34,19,defective
1,1,1,86,1,1742,34,86,0,clean
1,1,1,52,1,358,212,2,50,clean
1,1,2,100,6,299,70,16,0,clean
3,3,4,119,3,1742,252,39,1,clean
1,1,5,16,4,258,107,1,2,clean
12,12,3,16,18,358,370,71,76,defective
1,1,4,233,1,299,663,179,54,defective
5,5,6,74,5,1742,389,20,11,defective
2,2,7,842,3,319,165,174,106,defective
4,4,10,54,8,258,277,36,24,defective
1,1,11,1039,2,259,352,264,255,defective
1,1,1,1649,1,1742,359,1649,0,clean
1,1,1,127,1,358,633,4,123,clean
1,1,2,4,1,299,632,2,2,defective
1,1,3,45,1,319,241,4,41,clean
1,1,4,397,2,258,436,100,98,defective
1,1,1,107,1,1742,0,107,0,clean
1,1,1,10,1,299,343,3,7,clean
1,1,2,568,2,258,344,148,136,defective
1,1,1,185,1,1742,57,185,0,clean
1,1,1,208,1,358,134,184,24,defective
1,1,2,12,1,1742,135,0,12,clean
1,1,3,54,1,258,133,38,16,defective
5,5,2,14,6,358,582,153,197,defective
2,2,4,92,3,258,488,72,71,defective
4,4,1,2598,6,358,348,243,189,defective
1,1,2,164,3,299,182,26,28,clean
1,1,3,322,1,1742,169,322,0,defective
7,7,4,1755,12,319,200,112,33,defective
1,1,5,4,2,258,249,1,1,clean
6,6,2,7,11,358,253,29,17,defective
7,7,5,28,11,299,327,76,67,defective
8,8,7,175,11,1742,500,25,9,defective
5,5,10,29,15,258,234,54,32,defective
6,6,12,19,7,259,296,78,75,defective
3,3,1,33,3,299,666,8,3,clean
1,1,2,209,1,258,116,209,0,clean
1,1,3,1039,2,259,352,264,255,defective
1,1,1,139,2,258,446,69,0,defective
3,3,2,41,6,299,484,6,3,defective
1,1,3,209,1,258,116,209,0,clean
1,1,4,1039,2,259,352,264,255,defective
1,1,1,1424,1,1742,313,1424,0,clean
1,1,1,10663,2,1742,1962,5331,0,clean
10,10,2,1847,23,258,851,200,35,defective
1,1,1,107,1,1742,0,107,0,clean
1,1,1,1947,1,299,500,1947,0,clean
1,1,1,34,6,299,164,2,2,clean
1,1,1,2,1,299,250,1,1,clean
1,1,1,54,1,358,405,36,18,clean
1,1,1,75,3,358,266,11,13,clean
1,1,1,473,1,299,245,315,158,defective
1,1,2,107,1,1742,0,107,0,clean
11,11,5,1334,13,358,242,57,58,clean
9,9,8,15,20,299,859,1198,0,defective
9,9,12,2,13,1742,353,137,92,defective
5,5,14,675,10,319,195,46,22,defective
3,3,16,23,3,258,11,2,9,clean
6,6,20,2397,12,259,235,200,1,defective
12,12,4,152,15,358,2088,15,7,defective
1,1,5,24,2,299,1267,7,5,clean
1,1,6,5,1,1742,216,4,1,clean
3,3,8,107,3,259,1048,26,11,clean
6,6,4,141,10,358,601,22,14,clean
4,4,7,11,13,299,373,232,122,defective
6,6,10,1455,12,1742,1955,3905,72,defective
5,5,12,148,5,319,512,26,4,defective
6,6,14,14,10,258,465,20,12,clean
1,1,15,4,1,259,2239,4,0,clean
1,1,1,5,1,299,671,3,2,clean
1,1,2,15,2,259,557,1,6,clean
1,1,1,806,1,1742,478,806,0,defective
1,1,1,1947,1,299,500,1947,0,clean
1,1,1,124,1,299,14,2,122,clean
1,1,2,20525,1,1742,5808,20525,0,clean
1,1,3,4,1,259,179,2,2,clean
1,1,1,248,2,299,14,2,122,clean
1,1,1,4,1,358,77,4,0,clean
1,1,1,441,1,258,3240,421,20,defective
1,1,1,10,1,358,175,6,4,clean
1,1,2,11,1,299,40,0,11,clean
2,2,3,4,2,258,44,0,1,clean
2,2,4,136,2,259,8,68,0,clean
1,1,1,12,1,299,863,12,0,clean
1,1,1,202,1,299,604,142,60,clean
1,1,1,1947,1,299,500,1947,0,clean
2,2,1,35,2,299,958,17,0,defective
2,2,1,31,2,1742,1151,15,0,clean
1,1,2,4,1,319,218,2,2,clean
1,1,1,107,1,1742,0,107,0,clean
2,2,1,516,2,319,1457,68,190,clean
1,1,1,1851,1,1742,0,0,1851,clean
1,1,1,78,1,1742,20,78,0,defective
2,2,1,3476,6,1742,350,254,324,defective
1,1,1,2420,3,1742,208,182,624,defective
2,2,1,3476,6,1742,350,254,324,defective
1,1,1,78,1,1742,20,78,0,defective
2,2,1,989,6,1742,156,156,8,defective
1,1,1,26,2,299,336,12,1,clean
2,2,2,462,3,1742,232,75,78,defective
1,1,1,38,1,1742,0,38,0,clean
1,1,1,38,1,1742,174,6,32,clean
1,1,1,3141,2,299,736,1570,0,defective
1,1,1,3141,2,299,736,1570,0,defective
1,1,1,337,1,299,0,0,337,clean
1,1,1,4072,2,299,586,1379,656,defective
1,1,1,4072,2,299,586,1379,656,defective
1,1,1,24,2,299,15,10,2,clean
1,1,2,21,1,259,22,19,2,clean
1,1,1,4,1,1742,183,0,4,clean
12,12,1,7152,14,319,914,220,290,defective
1,1,1,1715,1,319,561,871,844,clean
3,3,1,1693,3,319,762,88,476,clean
9,9,1,5999,11,319,806,224,320,defective
1,1,1,1715,1,319,561,871,844,clean
1,1,2,82,1,259,718,41,41,clean
8,8,1,5990,10,319,832,250,348,clean
1,1,1,1715,1,319,561,871,844,clean
6,6,1,5970,8,319,872,311,434,clean
1,1,1,1715,1,319,561,871,844,clean
7,7,1,6072,9,319,880,283,391,defective
1,1,1,1715,1,319,561,871,844,clean
9,9,1,3131,11,319,1197,123,161,clean
1,1,1,14,1,358,113,14,0,clean
1,1,1,1187,1,258,949,1187,0,defective
1,1,1,1187,1,258,949,1187,0,defective
1,1,1,31,1,358,43,17,14,clean
1,1,1,96,1,358,98,51,45,clean
1,1,1,96,1,358,98,51,45,clean
1,1,1,150,1,319,1840,44,106,defective
1,1,1,8,1,299,428,4,4,clean
2,2,1,108,3,358,1482,18,18,clean
1,1,2,15,1,299,852,9,6,clean
8,8,4,2,8,358,1423,14,22,defective
20,20,6,40,34,299,567,33,10,defective
5,5,8,37,5,1742,410,12,4,clean
2,2,10,2,2,319,749,2,195,clean
4,4,13,606,5,258,717,178,113,clean
5,5,14,174,7,259,1246,14,10,defective
1,1,1,108,1,1742,492,54,54,clean
3,3,2,395,3,258,5001,154,19,defective
1,1,1,2,1,299,250,1,1,clean
1,1,1,2,1,358,717,1,1,clean
1,1,1,87,2,319,2051,42,1,clean
1,1,1,437,1,358,2550,210,227,defective
2,2,2,6,2,319,2634,2,0,clean
1,1,1,14,1,358,717,11,3,clean
2,2,3,20,2,299,765,48,9,clean
1,1,1,95,1,299,764,86,9,clean
1,1,1,537,1,299,949,537,0,clean
3,3,2,1510,3,1742,592,503,0,defective
2,2,3,162,2,259,456,45,36,defective
1,1,1,26,1,1742,2410,13,13,clean
1,1,1,52,1,319,5603,11,41,clean
2,2,2,16,2,319,448,54,0,clean
1,1,3,43,1,258,533,43,0,clean
3,3,1,18,3,358,282,5,0,clean
2,2,2,694,2,299,408,273,73,clean
2,2,3,1517,2,1742,896,758,0,clean
1,1,4,1177,1,319,2052,1005,172,defective
2,2,5,770,2,258,695,384,0,clean
1,1,6,5,1,259,556,5,0,clean
1,1,1,1187,1,258,949,1187,0,defective
2,2,1,55,2,258,343,25,2,clean
1,1,1,26,1,358,2143,18,8,defective
1,1,2,29,1,299,2218,22,7,defective
1,1,1,120,1,258,1711,99,21,defective
1,1,1,386,1,258,247,386,0,clean
1,1,1,440,1,358,1410,349,91,clean
2,2,1,120,15,259,322,2,5,clean
1,1,1,21,1,259,39,17,4,clean
1,1,1,223,1,299,284,82,141,clean
1,1,1,1022,1,358,865,503,519,clean
1,1,2,1362,2,1742,51,88,592,defective
2,2,1,2646,4,259,484,661,0,defective
2,2,1,33,2,358,969,6,10,clean
1,1,2,2,1,299,3419,1,1,defective
1,1,3,1,1,319,2994,1,0,defective
1,1,4,55,1,259,4053,32,23,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
1,1,1,22401,1,1742,14408,22401,0,clean
