@relation 'dataset_feat_h-weka.filters.unsupervised.attribute.Remove-R3,5-6,8'

@attribute comm numeric
@attribute adev numeric
@attribute exp numeric
@attribute mods numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {clean,defective}

@data
2,2,10,177,180,437,181,defective
1,1,6,213,371,0,6,clean
1,1,40,213,27,10,4,clean
1,1,1470,1577,0,1447,0,clean
2,2,84,186,31,67,6,clean
1,1,1957,213,235,19,103,clean
2,2,14,213,69,3,4,clean
1,1,35,213,634,5,7,clean
1,1,24,223,637,8,3,clean
1,1,8,192,206,2,4,clean
1,1,95,177,234,19,5,clean
1,1,24,213,147,12,2,clean
1,1,31759,213,321,349,91,clean
1,1,5,213,49,5,1,clean
1,1,31759,213,321,349,91,clean
1,1,6643,186,0,91,73,clean
6,6,62,213,100,72,6,defective
2,2,1,223,2,2,2,defective
2,2,480,1577,118,138,7,clean
4,4,61,186,31,47,0,clean
4,4,272,192,183,147,1,defective
6,6,36,177,175,18,3,defective
2,2,6,213,1516,12,0,defective
1,1,18,1577,1561,6,3,clean
1,1,1052,213,260,236,263,clean
1,1,1,223,526,1,1,clean
1,1,1052,213,260,236,263,clean
3,3,32,213,132,11,11,clean
3,3,25,213,278,33,18,defective
1,1,96,223,347,16,6,defective
1,1,1092,192,174,35,25,clean
3,3,336,213,78,29,16,clean
1,1,75,213,1915,15,5,clean
1,1,226576,1577,2100,476,476,defective
2,2,1,213,134,1,1,defective
2,2,858,192,134,18,15,clean
3,3,950,213,79,20,25,defective
2,2,268,213,337,50,25,defective
3,3,168,213,1921,16,3,defective
1,1,226576,1577,2100,476,476,defective
1,1,112,186,2129,14,8,clean
7,7,1022,192,2183,61,13,defective
1,1,270,213,1939,45,6,clean
1,1,226576,1577,2100,476,476,defective
2,2,1092,192,2143,33,33,defective
1,1,5,213,0,5,0,clean
1,1,11571,213,127,133,87,clean
1,1,62,223,133,31,2,clean
2,2,510,213,72,30,10,defective
1,1,1,1577,69,1,1,clean
1,1,529,213,424,23,23,defective
1,1,18,213,81,18,0,clean
2,2,4,186,99,14,10,clean
1,1,120,213,75,30,4,clean
1,1,62,213,396,31,2,clean
1,1,9310,192,409,98,95,clean
3,3,269010,177,382,230,189,defective
1,1,80,213,73,80,0,defective
1,1,232,213,1337,29,8,clean
1,1,31,213,85,31,0,clean
1,1,486,186,99,27,18,clean
7,7,950,213,79,26,20,defective
2,2,26,213,114,32,10,clean
1,1,17,213,217,17,1,clean
1,1,18,213,0,6,3,clean
1,1,8,1577,0,4,2,clean
14,14,972,213,234,32,25,defective
8,8,34,223,205,13,8,clean
14,14,24,1577,322,1189,46,defective
12,12,75,186,95,53,29,defective
8,8,1551,192,193,123,73,defective
9,9,17,177,181,209,83,defective
1,1,390,213,225,13,30,clean
2,2,742,213,234,61,52,defective
1,1,285,223,104,19,15,clean
1,1,1,1577,99,1,1,clean
5,5,47,186,252,22,22,clean
2,2,2338,192,293,122,94,defective
13,13,51,177,217,15,10,defective
1,1,2,213,169,0,2,clean
1,1,5,1577,218,0,5,clean
1,1,87,186,174,29,3,clean
1,1,1680,192,126,32,14,clean
1,1,1,177,182,0,1,clean
1,1,15,213,0,0,15,clean
9,9,10,213,229,19,72,clean
1,1,14880,223,0,186,80,clean
3,3,4,1577,194,1,2,clean
1,1,4664,186,382,44,106,defective
2,2,2114,192,283,152,176,clean
6,6,12,177,390,42,26,clean
17,17,10,213,19,17,20,defective
5,5,460,223,15,14,4,clean
7,7,13,1577,68,28,0,defective
4,4,5,186,2,7,0,clean
